CODBDT,GEOCODIGO,DESBDT,area,X,Y
686410,198,Parque Loranca,6525395.24355986,-3.8351135852307054,40.30584012163483
686411,199,Parque Oeste,4809520.60116942,-3.846994826489617,40.358247192141675
686412,200,Pavones,1024383.32264658,-3.6383695648279977,40.39878004825382
686413,201,Perales de Tajuña,144975033.085277,-3.287406153191081,40.24624083089856
686414,202,Perales del Río,45350061.8955625,-3.6370917562392537,40.3002943437095
686415,203,Peña Prieta,392468.39832873,-3.663007726774975,40.39706289083296
686416,204,Peñagrande,1441133.12327306,-3.7241309069340764,40.475674053405584
686417,205,Pilar,2179910.82198329,-3.6981807072178956,40.47834264124808
686418,206,Pinto,32003773.9642512,-3.707640506028254,40.2342578503791
686419,207,Pintores,4373695.71695827,-3.7558841292793406,40.24696593054396
686420,208,Pizarro,480689.427171616,-3.7689808367932036,40.32641272523968
686421,209,Portazgo,1165705.1407606,-3.650722151688244,40.39464335512419
686422,210,Potosí,1753252.04418538,-3.6717124812886097,40.45867341219794
686423,211,Pozo de Tío Raimundo,462894.831224422,-3.6601744871332156,40.374059951854896
686424,212,Pozuelo - Estación,5393874.59839859,-3.8002543873071293,40.44691809841117
686425,213,Pozuelo - Somosaguas,18097439.4843328,-3.797987703059571,40.41423024385668
686426,214,Presentación Sabio,6460715.70541474,-3.8779637691448077,40.34213095793511
686427,215,Prosperidad,1798629.53157006,-3.670860818777001,40.44594928956841
686428,216,Puerta Bonita,774271.573195315,-3.7347916775843255,40.3827943081936
686429,217,Puerta de Madrid,4334139.79737809,-3.412818118093598,40.46650934926217
686430,218,Puerta del Ángel,559310.819412157,-3.7360489490436564,40.4089808062881
686431,219,Quinta de los Molinos,1881976.14780142,-3.6309336140680055,40.44528911562811
686432,220,Rafael Alberti,1271018.7357751,-3.641093190362143,40.38233062250571
686433,221,Ramón y Cajal,459459.155916293,-3.821628394317836,40.34935949531763
686434,222,Rascafría,258284986.107943,-3.8597723213750528,40.898942526833714
686435,223,Reina Victoria,1195965.62764196,-3.707994227674984,40.44890384143677
686436,224,Rejas,5007776.54435092,-3.5701736283280616,40.445074037570556
686437,225,Reyes Católicos,519428.127624776,-3.629367729814368,40.54693381959172
686438,226,Reyes Magos,13276062.681369,-3.398187049751898,40.51224093130481
686439,227,Rivas - La Paz,2689839.54469996,-3.5435942971663947,40.36599910481815
686440,228,Rivas - Santa Mónica,4827597.66553243,-3.527169380258489,40.357315299291805
686441,229,Rivas - 1º de Mayo,59967601.272682,-3.527725291273606,40.33732052848093
686442,230,Robledo de Chavela,250134607.693101,-4.213324873497009,40.47357081876288
686443,231,Rosa Luxemburgo,2201093.20355554,-3.6288156919259986,40.55556560502915
686444,232,San Andrés,591335.584169784,-3.7118878268015436,40.34502773512748
686445,233,San Blas,7633175.47268755,-3.7884793545787447,40.23541321130341
686446,234,San Cristóbal,5931911.45649514,-3.7019071596000144,40.334443859946724
686447,235,San Diego,706377.036332599,-3.6677723764383043,40.388902640832114
686448,236,San Fermín,1471903.19073185,-3.6890821329524517,40.37061404244124
686449,237,San Fernando,961229.667687536,-3.5261157409135007,40.420098990988556
686450,238,San Isidro,1179259.9280931,-3.7254750591320485,40.39874806901227
686451,239,San Juan de la Cruz,19926040.1088589,-3.831631833829333,40.437326415384405
686452,240,San Lorenzo de El Escorial,152393910.603793,-4.194081003005751,40.5969113271218
686453,241,San Martín de Valdeiglesias,124101033.564745,-4.363518983822068,40.36178493893398
686454,242,San Martín de la Vega,105169480.597225,-3.5616155512227934,40.243138602085075
686455,243,Sanchinarro,4981654.67752897,-3.6519053981874907,40.498710181277325
686456,244,Santa Eugenia,2065583.31952417,-3.6113291837353407,40.38339488190295
686457,245,Sector Embarcaciones,36844177.8095651,-3.726352147505711,40.61142081270313
686458,246,Sector III,5638440.23933438,-3.7493459161097182,40.296568052838246
686459,247,Sector Oficios,1118112.72130571,-3.713132036682161,40.60878771371296
686460,248,Segovia,802151.395978785,-3.711101939328456,40.41199403877015
686461,249,Segre,2838705.14871201,-3.6847673824880247,40.449686337881026
686462,250,Sevilla la Nueva,80134483.2151365,-4.090451342099194,40.35790518518815
686463,251,Sierra de Guadarrama,961818.846580623,-4.011814773828034,40.63199996541723
686464,252,Silvano,4974412.91238621,-3.6295991048360334,40.456812336839995
686465,253,Simancas,2273477.38263619,-3.625078599903551,40.43532099086715
686466,254,Soto del Real,228083251.711091,-3.7373964769017713,40.792338320328646
686467,255,Sánchez Morate,448426.026615771,-3.7222322669828696,40.31319284890051
686468,256,Torrelaguna,125482833.590199,-3.504462884734431,40.86767486352742
686469,257,Torrelodones,66978026.6865623,-3.904011853451751,40.60283102183613
686470,258,Torres de la Alameda,209273757.858943,-3.274974524646253,40.429760583084374
686471,259,V Centenario,2100118.87061471,-3.6175919013346616,40.547214626759946
686472,260,Valdeacederas,1164622.02938504,-3.704153596865309,40.46702376537619
686473,261,Valdebernardo,1452762.18836559,-3.6218296980846914,40.39819641802299
686474,262,Valdelasfuentes,17108344.5900841,-3.6679111056835856,40.552088434335204
686475,263,Valdemorillo,93797191.4148501,-4.068579532457843,40.504032724258124
686476,264,Valdemoro,36608304.4680962,-3.642563282143175,40.197943690075824
686477,265,Valderribas,15960049.3016006,-3.579794619391072,40.38203117307986
686478,266,Valdezarza,15590900.9030483,-3.736381769801109,40.45670547133549
686479,267,Valle Inclán,354613.097545823,-3.7773210040406435,40.376949310037645
686480,268,Valle de la Oliva,7653177.00345841,-3.8581329260601644,40.45816653565886
686481,269,Valleaguado,5800498.20434029,-3.5495749504533496,40.43434763113888
686482,270,Vandel,2603570.20247325,-3.6333467032232596,40.407935053768384
686483,271,Vicente Muzas,1824363.08558192,-3.6566777717676353,40.4536215686817
686484,272,Vicálvaro - Artilleros,1583624.81016589,-3.6139593808862722,40.40905314371194
686485,273,Vicálvaro - Villablanca,16274391.9076827,-3.557758658988669,40.4029876007235
686486,274,Villa Vallecas,749354.196515063,-3.621556448157071,40.377901383607394
686487,275,Villa del Prado,128967344.948866,-4.273189247454301,40.288831994393284
686488,276,Villaamil,605024.867902507,-3.7049288735604327,40.45961461203034
686489,277,Villanueva de la Cañada,109771101.95771,-4.007396369009461,40.41822572153282
686490,278,Villanueva del Pardillo,25481643.6690829,-3.9684908700081,40.49044694891408
686491,279,Villarejo de Salvanés,420392045.329555,-3.1989464398575023,40.14902501427314
686492,280,Villaviciosa de Odón,68216958.1607701,-3.9369655303816673,40.36067817603996
686493,281,Vinateros - Torito,1062141.46121306,-3.6444891607030696,40.405927533345356
686494,282,Virgen de Begoña,1334968.58229866,-3.6866100837381888,40.48791758780433
686495,283,Virgen del Cortijo,1501542.70431227,-3.6582242740033015,40.48525483173954
686496,284,Virgen del Val,16945270.040448,-3.3309285726738316,40.47995043147974
686497,285,Vista Alegre,1399447.0402304,-3.7470841607502114,40.38350877028769
686498,286,Zofío,1871142.79454335,-3.7104830887952405,40.37863219893838
