mes,pais_orig_cod,pais_orig,mun_dest_cod,mun_dest,turistas,CMUN,Target
2019-07,040,Total Asia,28022,Boadilla del Monte,115,022,115
2019-07,102,Austria,28022,Boadilla del Monte,341,022,341
2019-07,103,Bélgica,28022,Boadilla del Monte,34,022,34
2019-07,107,Dinamarca,28022,Boadilla del Monte,56,022,56
2019-07,110,Francia,28022,Boadilla del Monte,356,022,356
2019-07,115,Italia,28022,Boadilla del Monte,64,022,64
2019-07,117,Luxemburgo,28022,Boadilla del Monte,38,022,38
2019-07,121,Países Bajos,28022,Boadilla del Monte,391,022,391
2019-07,122,Polonia,28022,Boadilla del Monte,37,022,37
2019-07,123,Portugal,28022,Boadilla del Monte,96,022,96
2019-07,125,Reino Unido,28022,Boadilla del Monte,279,022,279
2019-07,126,Alemania,28022,Boadilla del Monte,188,022,188
2019-07,131,Suecia,28022,Boadilla del Monte,64,022,64
2019-07,132,Suiza,28022,Boadilla del Monte,30,022,30
2019-07,302,EE.UU.,28022,Boadilla del Monte,155,022,155
2019-07,340,Argentina,28022,Boadilla del Monte,58,022,58
2019-07,343,Colombia,28022,Boadilla del Monte,30,022,30
2019-07,407,China,28022,Boadilla del Monte,78,022,78
2019-07,000,Total,28023,"Boalo, El",258,023,258
2019-07,010,Total Europa,28023,"Boalo, El",203,023,203
2019-07,011,Total Unión Europea,28023,"Boalo, El",173,023,173
2019-07,030,Total América,28023,"Boalo, El",46,023,46
2019-07,110,Francia,28023,"Boalo, El",57,023,57
2019-07,126,Alemania,28023,"Boalo, El",35,023,35
2019-07,000,Total,28025,Brea de Tajo,88,025,88
2019-07,010,Total Europa,28025,Brea de Tajo,71,025,71
2019-07,011,Total Unión Europea,28025,Brea de Tajo,57,025,57
2019-07,000,Total,28026,Brunete,326,026,326
2019-07,010,Total Europa,28026,Brunete,270,026,270
2019-07,011,Total Unión Europea,28026,Brunete,238,026,238
2019-07,030,Total América,28026,Brunete,40,026,40
2019-07,110,Francia,28026,Brunete,73,026,73
2019-07,121,Países Bajos,28026,Brunete,57,026,57
2019-07,000,Total,28027,Buitrago del Lozoya,466,027,466
2019-07,010,Total Europa,28027,Buitrago del Lozoya,436,027,436
2019-07,011,Total Unión Europea,28027,Buitrago del Lozoya,406,027,406
2019-07,103,Bélgica,28027,Buitrago del Lozoya,31,027,31
2019-07,110,Francia,28027,Buitrago del Lozoya,274,027,274
2019-07,121,Países Bajos,28027,Buitrago del Lozoya,58,027,58
2019-07,000,Total,28028,Bustarviejo,143,028,143
2019-07,010,Total Europa,28028,Bustarviejo,96,028,96
2019-07,011,Total Unión Europea,28028,Bustarviejo,91,028,91
2019-07,110,Francia,28028,Bustarviejo,33,028,33
2019-07,000,Total,28029,Cabanillas de la Sierra,55,029,55
2019-07,010,Total Europa,28029,Cabanillas de la Sierra,50,029,50
2019-07,011,Total Unión Europea,28029,Cabanillas de la Sierra,42,029,42
2019-07,000,Total,28030,"Cabrera, La",455,030,455
2019-07,010,Total Europa,28030,"Cabrera, La",410,030,410
2019-07,011,Total Unión Europea,28030,"Cabrera, La",340,030,340
2019-07,030,Total América,28030,"Cabrera, La",35,030,35
2019-07,103,Bélgica,28030,"Cabrera, La",36,030,36
2019-07,110,Francia,28030,"Cabrera, La",114,030,114
2019-07,121,Países Bajos,28030,"Cabrera, La",49,030,49
2019-07,125,Reino Unido,28030,"Cabrera, La",58,030,58
2019-07,000,Total,28031,Cadalso de los Vidrios,77,031,77
2019-07,010,Total Europa,28031,Cadalso de los Vidrios,70,031,70
2019-07,011,Total Unión Europea,28031,Cadalso de los Vidrios,62,031,62
2019-07,000,Total,28032,Camarma de Esteruelas,172,032,172
2019-07,010,Total Europa,28032,Camarma de Esteruelas,138,032,138
2019-07,011,Total Unión Europea,28032,Camarma de Esteruelas,110,032,110
2019-07,000,Total,28033,Campo Real,139,033,139
2019-07,010,Total Europa,28033,Campo Real,109,033,109
2019-07,011,Total Unión Europea,28033,Campo Real,104,033,104
2019-07,000,Total,28034,Canencia,72,034,72
2019-07,010,Total Europa,28034,Canencia,68,034,68
2019-07,011,Total Unión Europea,28034,Canencia,62,034,62
2019-07,121,Países Bajos,28034,Canencia,31,034,31
2019-07,000,Total,28035,Carabaña,66,035,66
2019-07,010,Total Europa,28035,Carabaña,51,035,51
2019-07,011,Total Unión Europea,28035,Carabaña,38,035,38
2019-07,000,Total,28036,Casarrubuelos,129,036,129
2019-07,010,Total Europa,28036,Casarrubuelos,105,036,105
