mes,pais_orig_cod,pais_orig,mun_dest_cod,mun_dest,turistas,CMUN,Target,is_train
2019-07,010,Total Europa,28901,Lozoyuela-Navas-Sieteiglesias,257,901,257,TRUE
2020-11,126,Alemania,28061,Galapagar,72,061,72,TRUE
2019-07,342,Brasil,28006,Alcobendas,80,006,80,TRUE
2020-01,121,Países Bajos,28075,Loeches,122,075,122,TRUE
2022-03,122,Polonia,28030,"Cabrera, La",36,030,36,TRUE
2021-11,030,Total América,28083,Meco,31,083,31,TRUE
2019-09,125,Reino Unido,28160,Valdemorillo,40,160,40,TRUE
2020-07,141,Estonia,28079,Madrid,103,079,103,TRUE
2019-10,030,Total América,28005,Alcalá de Henares,907,005,907,TRUE
2021-09,011,Total Unión Europea,28106,Parla,1205,106,1205,TRUE
2020-04,010,Total Europa,28047,Collado Villalba,388,047,388,TRUE
2020-06,351,Venezuela,28115,Pozuelo de Alarcón,30,115,30,TRUE
2021-09,121,Países Bajos,28046,Collado Mediano,38,046,38,TRUE
2020-01,302,EE.UU.,28045,Colmenar Viejo,73,045,73,TRUE
2021-05,236,Sudafrica,28079,Madrid,32,079,32,TRUE
2022-05,010,Total Europa,28168,"Vellón, El",170,168,170,TRUE
2020-07,000,Total,28084,Mejorada del Campo,619,084,619,TRUE
2021-05,110,Francia,28026,Brunete,186,026,186,TRUE
2022-05,125,Reino Unido,28181,Villaviciosa de Odón,186,181,186,TRUE
2021-08,010,Total Europa,28031,Cadalso de los Vidrios,45,031,45,TRUE
2019-07,125,Reino Unido,28134,San Sebastián de los Reyes,279,134,279,TRUE
2021-12,011,Total Unión Europea,28053,Daganzo de Arriba,296,053,296,TRUE
2021-09,011,Total Unión Europea,28099,Navas del Rey,32,099,32,TRUE
2021-05,110,Francia,28032,Camarma de Esteruelas,32,032,32,TRUE
2020-09,000,Total,28035,Carabaña,108,035,108,TRUE
2020-08,011,Total Unión Europea,28004,"Álamo, El",103,004,103,TRUE
2021-02,147,Eslovenia,28079,Madrid,58,079,58,TRUE
2019-08,121,Países Bajos,28180,Villarejo de Salvanés,34,180,34,TRUE
2021-09,113,Irlanda,28005,Alcalá de Henares,123,005,123,TRUE
2022-06,110,Francia,28095,Navalagamella,56,095,56,TRUE
2022-07,110,Francia,28144,Soto del Real,90,144,90,TRUE
2020-01,220,Guinea ecuatorial,28005,Alcalá de Henares,59,005,59,TRUE
2019-12,118,Malta,28079,Madrid,787,079,787,TRUE
2022-01,126,Alemania,28047,Collado Villalba,146,047,146,TRUE
2020-11,102,Austria,28006,Alcobendas,106,006,106,TRUE
2019-10,010,Total Europa,28031,Cadalso de los Vidrios,53,031,53,TRUE
2019-09,000,Total,28046,Collado Mediano,206,046,206,TRUE
2022-09,030,Total América,28084,Mejorada del Campo,72,084,72,TRUE
2022-08,131,Suecia,28902,Puentes Viejas,214,902,214,TRUE
2022-01,031,Total América del Norte,28134,San Sebastián de los Reyes,245,134,245,TRUE
2022-06,126,Alemania,28013,Aranjuez,244,013,244,TRUE
2019-11,131,Suecia,28014,Arganda del Rey,64,014,64,TRUE
2022-09,123,Portugal,28110,Perales de Tajuña,41,110,41,TRUE
2019-12,010,Total Europa,28025,Brea de Tajo,39,025,39,TRUE
2020-08,010,Total Europa,28036,Casarrubuelos,122,036,122,TRUE
2019-07,110,Francia,28073,Humanes de Madrid,200,073,200,TRUE
2019-12,033,Total Sudamérica,28104,Paracuellos de Jarama,141,104,141,TRUE
2022-09,122,Polonia,28040,Ciempozuelos,35,040,35,TRUE
2022-08,010,Total Europa,28125,Robledo de Chavela,267,125,267,TRUE
2021-06,121,Países Bajos,28150,Torrejón de Velasco,49,150,49,TRUE
2019-12,126,Alemania,28030,"Cabrera, La",44,030,44,TRUE
2019-08,126,Alemania,28131,San Lorenzo de El Escorial,123,131,123,TRUE
2021-08,121,Países Bajos,28086,"Molar, El",43,086,43,TRUE
2020-08,011,Total Unión Europea,28110,Perales de Tajuña,104,110,104,TRUE
2019-11,126,Alemania,28161,Valdemoro,317,161,317,TRUE
2021-12,030,Total América,28092,Móstoles,328,092,328,TRUE
2020-02,125,Reino Unido,28074,Leganés,257,074,257,TRUE
2021-11,436,Turquia,28079,Madrid,685,079,685,TRUE
2022-06,000,Total,28150,Torrejón de Velasco,424,150,424,TRUE
2022-07,343,Colombia,28127,"Rozas de Madrid, Las",94,127,94,TRUE
2022-04,000,Total,28171,Villa del Prado,225,171,225,TRUE
2020-01,103,Bélgica,28079,Madrid,9420,079,9420,TRUE
2020-10,011,Total Unión Europea,28041,Cobeña,81,041,81,TRUE
2020-05,000,Total,28129,San Agustín del Guadalix,194,129,194,TRUE
2022-10,116,Liechtenstein,28080,Majadahonda,36,080,36,TRUE
2021-12,345,Ecuador,28079,Madrid,882,079,882,TRUE
2022-10,128,Rumania,28106,Parla,56,106,56,TRUE
2021-03,213,Egipto,28079,Madrid,214,079,214,TRUE
2021-12,123,Portugal,28053,Daganzo de Arriba,31,053,31,TRUE
2022-02,121,Países Bajos,28075,Loeches,56,075,56,TRUE
2021-10,033,Total Sudamérica,28123,Rivas-Vaciamadrid,90,123,90,TRUE
2019-10,030,Total América,28002,Ajalvir,38,002,38,TRUE
2019-09,010,Total Europa,28029,Cabanillas de la Sierra,41,029,41,TRUE
2022-02,031,Total América del Norte,28005,Alcalá de Henares,228,005,228,TRUE
2021-11,117,Luxemburgo,28123,Rivas-Vaciamadrid,52,123,52,TRUE
2020-11,121,Países Bajos,28091,Morata de Tajuña,30,091,30,TRUE
2019-08,107,Dinamarca,28130,San Fernando de Henares,40,130,40,TRUE
2022-07,117,Luxemburgo,28065,Getafe,103,065,103,TRUE
2021-12,110,Francia,28161,Valdemoro,527,161,527,TRUE
2020-04,302,EE.UU.,28049,Coslada,31,049,31,TRUE
2022-03,110,Francia,28015,Arroyomolinos,204,015,204,TRUE
2020-01,110,Francia,28154,Torres de la Alameda,64,154,64,TRUE
2019-08,103,Bélgica,28005,Alcalá de Henares,169,005,169,TRUE
2021-09,010,Total Europa,28109,Pelayos de la Presa,40,109,40,TRUE
2021-05,115,Italia,28134,San Sebastián de los Reyes,52,134,52,TRUE
2020-02,123,Portugal,28005,Alcalá de Henares,303,005,303,TRUE
2020-12,126,Alemania,28161,Valdemoro,237,161,237,TRUE
2020-10,103,Bélgica,28096,Navalcarnero,38,096,38,TRUE
2020-01,117,Luxemburgo,28130,San Fernando de Henares,36,130,36,TRUE
2019-08,030,Total América,28148,Torrejón de Ardoz,417,148,417,TRUE
2019-09,031,Total América del Norte,28092,Móstoles,211,092,211,TRUE
2021-06,102,Austria,28053,Daganzo de Arriba,30,053,30,TRUE
2021-07,125,Reino Unido,28092,Móstoles,144,092,144,TRUE
2020-01,010,Total Europa,28007,Alcorcón,3521,007,3521,TRUE
2022-01,010,Total Europa,28113,Pinto,2303,113,2303,TRUE
2019-12,234,Nigeria,28005,Alcalá de Henares,47,005,47,TRUE
2021-09,126,Alemania,28006,Alcobendas,253,006,253,TRUE
2019-08,125,Reino Unido,28167,Velilla de San Antonio,30,167,30,TRUE
2020-08,000,Total,28092,Móstoles,3301,092,3301,TRUE
2022-05,156,Macedonia,28079,Madrid,75,079,75,TRUE
2019-07,125,Reino Unido,28054,"Escorial, El",60,054,60,TRUE
2021-05,123,Portugal,28154,Torres de la Alameda,39,154,39,TRUE
2022-08,033,Total Sudamérica,28092,Móstoles,231,092,231,TRUE
2022-04,000,Total,28123,Rivas-Vaciamadrid,2157,123,2157,TRUE
2022-10,121,Países Bajos,28086,"Molar, El",34,086,34,TRUE
2020-01,000,Total,28108,Pedrezuela,144,108,144,TRUE
2021-06,011,Total Unión Europea,28120,Rascafría,158,120,158,TRUE
2020-05,000,Total,28141,Sevilla la Nueva,143,141,143,TRUE
2021-04,110,Francia,28120,Rascafría,50,120,50,TRUE
2021-04,011,Total Unión Europea,28015,Arroyomolinos,616,015,616,TRUE
2019-11,122,Polonia,28113,Pinto,61,113,61,TRUE
2022-03,030,Total América,28005,Alcalá de Henares,673,005,673,TRUE
2021-09,122,Polonia,28005,Alcalá de Henares,266,005,266,TRUE
2020-10,121,Países Bajos,28007,Alcorcón,576,007,576,TRUE
2021-07,011,Total Unión Europea,28014,Arganda del Rey,1746,014,1746,TRUE
