anyo,mun_dest,receptor,Andalucía,Aragón,"Asturias, Principado de","Balears, Illes",Canarias,Cantabria,Castilla - La Mancha,Castilla y León,Cataluña,Ceuta,Comunitat Valenciana,Extremadura,Galicia,"Madrid, Comunidad de",Melilla,"Murcia, Región de","Navarra, Comunidad Foral de",País Vasco,"Rioja, La",comercio,hosteleria,turismo,cluster
2019,Villa del Prado,1286,958,0,0,34,78,0,13.442,496,86,0,913,453,157,0,0,95,0,0,0,3,3,3,2
2019,Villaconejos,470,334,0,0,0,0,0,1969.45,0,0,0,261,0,0,0,0,0,0,0,0,2,3,5,2
2019,Villalbilla,2124,873,241,104,0,33,0,3667,519,518,0,726,361,353,0,0,161,0,170,0,2,3,2,2
2019,Villamanrique de Tajo,248,0,0,0,0,0,0,3495.149,93,0,0,246,0,0,0,0,0,0,0,0,3,1,3,2
2019,Villamanta,336,153,0,0,0,0,0,1608,0,0,0,112,30,0,0,0,0,0,0,0,4,3,3,2
2019,Villanueva de Perales,31,0,0,0,0,0,0,54,55,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2
2019,Villanueva de la Cañada,12757,3975,559,979,421,527,461,3522,3297,1263,0,2217,1396,1613,0,0,581,148,864,78,2,3,3,3
2019,Villanueva del Pardillo,3174,1498,192,415,62,205,75,1444,1329,557,0,952,525,636,0,0,224,0,315,0,2.5,3,3,2
2019,Villar del Olmo,233,0,0,0,0,0,0,796,0,0,0,0,0,0,0,0,0,0,0,0,5,2.5,5,2
2019,Villarejo de Salvanés,1232,486,0,98,0,0,0,4386.184,466,120,0,1592,0,332,0,0,476,0,0,0,3,2.5,3,2
2019,Villaviciosa de Odón,11508,4422,643,1047,576,537,521,7.564,3245.131,1541,0,3440,1273,2255,0,0,817,243,1266,214,3,3,4,3
2019,Zarzalejo,320,0,0,0,0,0,0,0,1059,0,0,0,0,0,0,0,0,0,0,0,4,3,4,2
2019,"Álamo, El",864,661,36,34,0,0,0,10.725,525,306,0,559,413,138,0,0,0,0,32,0,3,2.5,3,2
2020,Ajalvir,3047,1796,279,69,0,72,39,5258,980,380,0,718,102,788,0,0,253,0,36,0,4,3,3,3
2020,Alcalá de Henares,63104,35.416,6254.571,5045,2374,3251,2883,250.57,1211.223,1461.648,35,1447.888,3572.079,24.366,0,32,5405.035,2787,5507,1800,3,3,3,4
2020,Alcobendas,47641,1962.926,3434,4407,2557,3111,2277,905.396,1562.49,5725.446,33,3661.863,6364,2262.921,0,37,3499,1285,3397.457,1008,3,3,2,4
2020,Alcorcón,31521,2052.177,3375,4708,2299,2205,1800,88.231,1304.301,5905.651,85,2402.897,2129.235,3519.534,0,0,4222,1347,3515,847,4,3,5,4
2020,Aldea del Fresno,931,143,0,0,0,0,0,6383.476,365,0,0,77,57,123,0,0,0,0,82,0,2,2,3,3
2020,Algete,6967,3395,431,369,103,130,546,1686.826,2459,1188,0,1833,473,2006,0,0,653,106,762,113,2.5,3,2.5,3
2020,Alpedrete,3726,1785,219,620,0,80,0,2151,3397,630,0,1171,432,2103,0,0,108,0,355,30,3,3,1,3
2020,Ambite,348,227,0,0,0,0,0,3842,0,0,0,0,0,104,0,0,0,0,0,0,2,4,3,3
2020,Aranjuez,14942,2747.737,1489,1521,689,1163,552,217.368,5350,3937,0,6080.408,2405,5557,0,0,2725,810,1581,115,3,3,2.5,1
2020,Arganda del Rey,18480,6363,1243,696,380,742,386,1362.958,4588,3424,0,6163.336,1502,5039,0,0,2092,77,1092,369,3,3,2,1
2020,Arroyomolinos,8368,4272,534,587,199,111,210,1098.805,3434,1317,0,2289,4621,3118,928,0,717,104,533,35,2,3.5,3,3
2020,"Atazar, El",228,0,0,0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3
2020,Becerril de la Sierra,854,673,0,164,34,72,0,840,993,262,0,554,34,1103,0,0,32,0,102,0,2,3,2,3
2020,"Berrueco, El",540,0,0,0,0,0,0,578,34,0,0,0,0,0,0,0,0,0,0,0,2,4,3,3
2020,Berzosa del Lozoya,40,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5,3,3
2020,Boadilla del Monte,25030,3885.91,1231,1741,977,800,1458,948.945,4439.606,3604,0,5961,2946,6244.669,0,0,1599,512,1855,241,3,3,1,1
2020,"Boalo, El",2040,1078,147,252,0,272,0,1345,1217,506,0,433,78,1214,0,0,0,33,209,0,2,3,3,3
2020,Brunete,2755,1753,171,320,0,133,125,2940,2329,799,0,934,1197,1424,0,0,93,55,326,0,4,3,3,3
2020,Buitrago del Lozoya,735,400.27,0,0,0,0,0,1503,959,57,0,54,0,34,0,0,0,0,307,33,3,3,3,3
2020,Bustarviejo,1339,213,0,34,0,32,0,7588,324,0,0,209,0,327,0,0,62,0,78,0,3,4,1,3
2020,"Cabrera, La",2995,1530,0,44,0,0,233,4230,944,68,0,324,0,506,0,0,0,0,963,0,3,3,3,3
2020,Cadalso de los Vidrios,774,106,0,33,0,0,0,5467.275,8234,85,0,77,0,188,0,0,0,0,0,0,4,3.5,3,3
2020,Camarma de Esteruelas,1580,806,70,0,0,0,0,567.975,338,424,0,543,44,658,0,0,0,0,0,0,1.5,1,1,3
2020,Campo Real,1774,669,0,149,0,0,0,2075,410,210,0,846,157,481,0,0,39,0,70,0,3.5,4,4,3
2020,Carabaña,1027,34,0,0,0,31,0,1047,31,0,0,0,0,44,0,0,0,0,0,0,3,3,3,3
2020,Casarrubuelos,1240,871,0,0,0,0,0,54.509,300,0,0,293,328,348,0,0,0,0,0,0,3.5,3,3,3
2020,Cercedilla,1662,1167,77,260,0,0,0,1762,3197,676,0,697,32,1640,0,0,79,0,148,0,3,3,4,3
2020,Chinchón,1113,1259,107,80,46,0,0,5989,629,512,0,1373,140,355,0,0,78,0,72,0,3,3,3,3
2020,Ciempozuelos,17504,6691.518,865,642,50,315,107,109.865,2441,1745,0,5405,1256,4117,0,0,1747,35,904,99,3,2,3,1
2020,Cobeña,1283,872,0,0,0,0,151,5591,573,313,0,593,68,872,0,0,0,0,32,0,3,3,3,3
2020,Collado Mediano,2475,1463,119,823,0,30,43,1858,5653,436,0,869,239,2391,0,0,195,0,233,0,3,3,3,3
2020,Collado Villalba,13834,5698.09,770,2234,571,796,664,5753.291,1495.024,2308,0,4499,1637,8406,0,0,1144,131,1191,146,3,3,3,1
2020,Colmenar Viejo,13596,5863.036,1153,1636,542,845,699,5817.66,6279.214,2674,0,4630,2006,6608,0,0,1282,118,1611,130,3,2,4.5,1
2020,Colmenar de Oreja,1488,984,0,42,0,0,39,19.646,144,55,0,547,62,246,0,0,0,0,0,0,3,4,2,3
2020,Colmenar del Arroyo,61,0,0,0,0,0,0,135,42,0,0,0,0,30,0,0,0,0,0,0,3,4.5,3,3
2020,Colmenarejo,2659,814,33,35,0,0,31,1375,906,138,0,502,168,707,0,0,0,0,0,0,3,3,2,3
2020,Coslada,25253,4688.484,2370,1918,815,1069,917,42.679,3594.464,8869.095,0,5128.084,5084,5339.78,0,0,3074,1050,1945,711,4,4,3,1
2020,Cubas de la Sagra,1026,489,35,0,0,0,106,30.861,62,0,0,74,196,199,0,0,31,0,0,0,3.5,2,4,3
2020,Daganzo de Arriba,2870,2596,177,272,0,33,0,7727,1280,689,0,1054,488,684,0,0,40,0,569,0,4.5,3,3,3
2020,"Escorial, El",3205,2026,257,653,259,116,220,2397,4248,922,0,1295,441,1951,0,0,173,0,638,0,3,3,4,3
2020,Fresnedillas de la Oliva,50,0,0,0,0,0,0,94,47,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3
2020,Fresno de Torote,570,297,0,0,0,0,0,6443,69,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3
2020,Fuenlabrada,38599,1409.652,3887,4592,1594,2452,1955,122.675,2180.445,6196.785,0,1432.408,2955.982,1753.239,0,118,4988,1552,4335,822,3,3,3,4
2020,Fuente el Saz de Jarama,1371,702,0,0,0,0,0,1583.735,519,214,0,298,31,268,0,0,0,0,79,0,4,2,3,3
2020,Fuentidueña de Tajo,559,0,0,0,0,0,0,5347,30,0,0,628,0,0,0,0,170,0,0,0,3,2,3,3
2020,Galapagar,8796,3860,685,1383,417,610,566,4292,7360,1985,0,2702,968,5108,0,0,672,237,1029,82,3,3,3,3
2020,Garganta de los Montes,751,0,0,0,0,0,0,912,62,33,0,0,0,30,0,0,0,0,0,0,3,4,3,3
2020,Getafe,55468,42.957,6307,5463,1996,3258,2607,145.814,1546.503,3116.729,39,1510.083,3298.52,1011.346,0,114,6491.253,2450,5621,1122,3,3,2.5,4
2020,Griñón,1725,1383,243,163,48,67,69,681.152,1307,575,0,1142,560,742,0,0,185,30,104,0,3,2.5,4,3
2020,Guadalix de la Sierra,1511,615,0,0,0,0,0,1973,1339,118,0,476,1077,539,0,0,0,0,52,0,3,3,3,3
2020,Guadarrama,5243,3239,381,2071,0,298,350,5005,1023.295,837,0,2282,801,5245.491,0,0,763,136,496,0,2,3,3,3
