ccaa,CPRO,CMUN,dist,secc,t1_1,t2_1,t2_2,t3_1,t4_1,t4_2,t4_3,t5_1,t6_1,t7_1,t8_1,t9_1,t10_1,t11_1,t12_1,id_zona,nombre_zona
13,28,079,08,081,895,0.5218,0.4782,49.2291,0.0939,0.5866,0.3196,0.0927,0.1598,0.0493,0.0407,0.3502,0.1194,0.4365,0.4957,205,Pilar
13,28,079,08,082,958,0.5543,0.4457,46.4791,0.0981,0.6576,0.2443,0.1534,0.2484,0.0463,0.037,0.3356,0.169,0.4722,0.5683,205,Pilar
13,28,079,08,083,956,0.5586,0.4414,48.6036,0.0983,0.6151,0.2866,0.1444,0.2437,0.0336,0.0186,0.2819,0.1299,0.4664,0.536,205,Pilar
13,28,079,08,084,996,0.5462,0.4538,44.8213,0.1074,0.6677,0.2249,0.2098,0.3554,0.0495,0.0315,0.2902,0.1341,0.4792,0.5534,205,Pilar
13,28,079,08,085,816,0.527,0.473,46.5037,0.0944,0.6593,0.2463,0.1287,0.2279,0.0514,0.0379,0.3315,0.103,0.5304,0.5913,205,Pilar
13,28,079,08,086,816,0.5588,0.4412,48.4363,0.0956,0.6299,0.2745,0.1017,0.2059,0.042,0.0339,0.3808,0.1394,0.4851,0.5637,205,Pilar
13,28,079,08,087,722,0.54990000000000006,0.4501,46.7175,0.1108,0.6302,0.259,0.1814,0.2909,0.0312,0.0249,0.3364,0.1071,0.5062,0.567,205,Pilar
13,28,079,08,088,872,0.5378,0.4622,44.8383,0.1135,0.6651,0.2213,0.1755,0.297,0.0479,0.0362,0.3713,0.1247,0.5084,0.5809,205,Pilar
13,28,079,08,089,683,0.5695,0.4305,48.022,0.0776,0.6706,0.2518,0.1127,0.2533,0.054,0.0397,0.3635,0.1306,0.4651,0.5349,205,Pilar
13,28,079,08,090,1152,0.5582,0.4418,52.6667,0.1033,0.4826,0.4141,0.0486,0.0885,0.0329,0.0319,0.5779,0.0917,0.393,0.4327,205,Pilar
13,28,079,08,091,776,0.5425,0.4575,48.5258,0.0954,0.6082,0.2964,0.1534,0.2268,0.0627,0.0484,0.4074,0.0965,0.4801,0.5313,205,Pilar
13,28,079,08,092,1012,0.5553,0.4447,50.4664,0.0879,0.5781,0.334,0.1196,0.2194,0.0347,0.0249,0.3575,0.1097,0.4485,0.5038,205,Pilar
13,28,079,08,093,932,0.5429,0.4571,50.8358,0.0923,0.5676,0.3401,0.0869,0.1727,0.0615,0.0496,0.487,0.1047,0.4243,0.474,205,Pilar
13,28,079,08,094,1133,0.5455,0.4545,48.263,0.12,0.5578,0.3222,0.0953,0.1456,0.0481,0.0401,0.5035,0.1093,0.4333,0.4865,205,Pilar
13,28,079,08,095,1634,0.522,0.478,50.7069,0.0887,0.5392,0.3721,0.049,0.1059,0.049,0.0457,0.6568,0.0909,0.4164,0.458,205,Pilar
13,28,079,08,096,1458,0.524,0.476,52.0556,0.0809,0.5309,0.3882,0.037,0.0775,0.0522,0.0493,0.609,0.0763,0.3978,0.4306,205,Pilar
13,28,079,08,097,791,0.5512,0.4488,50.0759,0.1037,0.5247,0.3717,0.0228,0.0619,0.0691,0.0536,0.615,0.073,0.4118,0.4443,205,Pilar
13,28,079,08,098,1777,0.5183,0.4817,47.0017,0.1294,0.5869,0.2836,0.0416,0.094,0.0769,0.0737,0.7098,0.0613,0.4848,0.5165,205,Pilar
13,28,079,08,099,1488,0.5363,0.4637,46.5981,0.1203,0.6022,0.2776,0.0558,0.0914,0.0703,0.0626,0.6776,0.0804,0.4721,0.5134,205,Pilar
13,28,079,08,100,1333,0.5251,0.4749,47.165,0.1238,0.5821,0.2941,0.036,0.075,0.0805,0.0745,0.7363,0.0781,0.4546,0.4932,205,Pilar
13,28,079,08,102,2008,0.5249,0.4751,47.6424,0.1101,0.5807,0.3093,0.0383,0.0832,0.0761,0.0705,0.6939,0.0823,0.4432,0.4829,205,Pilar
13,28,079,08,103,1388,0.5396,0.4604,48.2255,0.1383,0.5223,0.3393,0.0821,0.1333,0.0535,0.0518,0.7216,0.066,0.4381,0.4691,205,Pilar
13,28,079,08,104,1233,0.5483,0.4517,43.6569,0.1176,0.6926,0.1898,0.2409,0.3942,0.0441,0.0368,0.3401,0.1408,0.4991,0.5809,282,Virgen de Begoña
13,28,079,08,105,794,0.573,0.427,44.9383,0.1134,0.6927,0.194,0.2406,0.4055,0.044,0.0313,0.3736,0.1566,0.4972,0.5895,282,Virgen de Begoña
13,28,079,08,106,1045,0.5368,0.4632,41.0163,0.1445,0.7072,0.1483,0.2641,0.4354,0.0559,0.0391,0.3043,0.139,0.4989,0.5794,282,Virgen de Begoña
13,28,079,08,107,716,0.5601,0.4399,45.6047,0.1047,0.6844,0.2109,0.2095,0.3506,0.0437,0.0296,0.2933,0.1647,0.4431,0.5304,282,Virgen de Begoña
13,28,079,08,108,692,0.5708,0.4292,48.1575,0.0896,0.6431,0.2673,0.1792,0.302,0.046,0.0381,0.3095,0.1262,0.4508,0.5159,282,Virgen de Begoña
13,28,079,08,109,1277,0.5677,0.4323,44.928,0.1065,0.6922,0.2013,0.2302,0.3821,0.0535,0.0403,0.3129,0.1283,0.4645,0.5329,282,Virgen de Begoña
13,28,079,08,110,1015,0.5576,0.4424,51.5961,0.0916,0.5773,0.331,0.0916,0.1645,0.0618,0.0466,0.4262,0.1,0.4197,0.4664,282,Virgen de Begoña
13,28,079,08,111,1634,0.5239,0.4761,47.0098,0.1169,0.5906,0.2925,0.1395,0.2038,0.0589,0.0492,0.5274,0.0937,0.456,0.5031,282,Virgen de Begoña
