Id_Recinto,Recinto,Pabellon,Latitud,Longitud,Nombre,Descripción,Ejecutante,Categoria,Subcategoria_1,Subcategoria_2,Subcategoria_3,Tipo_contenido_1,Tipo_contenido_2,Tipo_contenido_3,Aforo,Precio,Fecha_Inicio,Fecha_Fin,Hora_apertura_1,Hora_cierre_1,Hora_apertura_2,Hora_cierre_2,Restricciones,Tipo_espacio
10,IFEMA,Pabellon 6,40.46841,-3.61659,Puerta Pabellon 6 - Pabellon 8,Entrada desde el Pabellon 6 hasta Pabellon 8,,Accesos,Secundario,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
11,IFEMA,Pabellon 7,40.46934,-3.61795,Puerta Pabellon 7 - Pabellon 9,Entrada desde el Pabellon 7 hasta Pabellon 9,,Accesos,Secundario,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
12,IFEMA,Pabellon 8,40.46945,-3.61715,Puerta Pabellon 8 - Pabellon 10,Entrada desde el Pabellon 8 hasta Pabellon 10,,Accesos,Secundario,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
13,IFEMA,Centro de Convenciones Norte,40.4711766,-3.617917,Entrada Centro de Convenciones Norte,Entrada desde la calle hasta el Centro de Convenciones Norte,,Accesos,Principal,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
14,IFEMA,Centro de Convenciones Norte,40.47055,-3.61835,Puerta Centro de Convenciones Norte - Pabellon 9,Entrada desde el Centro de Convenciones Norte hasta el Pabellon 9,,Accesos,Secundario,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
15,IFEMA,Centro de Convenciones Norte,40.4707,-3.61726,Puerta Centro de Convenciones Norte - Pabellon 10,Entrada desde el Centro de Convenciones Norte hasta el Pabellon 10,,Accesos,Secundario,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
16,IFEMA,Pabellon 9,40.46974,-3.62022,Puerta Calle - Pabellon 9,Entrada desde la calle hasta el Pabellon 9,,Accesos,Principal,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
17,IFEMA,Pabellon 9,40.47002,-3.61792,Puerta Interior - Pabellon 9,Entrada desde el recinto interior hasta el Pabellon 9,,Accesos,Secundario,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
18,IFEMA,Pabellon 10,40.47006,-3.61746,Puerta Calle - Pabellon 10,Entrada desde la calle hasta el Pabellon 10,,Accesos,Principal,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
19,IFEMA,Pabellon 10,40.47038,-3.61517,Puerta Interior - Pabellon 10,Entrada desde el recinto interior hasta el Pabellon 10,,Accesos,Secundario,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
20,IFEMA,Pabellon 7,40.4685,-3.61993,Puerta Calle - Pabellon 7,Entrada desde la calle hasta el Pabellon 7,,Accesos,Principal,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
21,IFEMA,Pabellon 7,40.46863,-3.61752,Puerta Interior - Pabellon 7,Entrada desde el recinto interior hasta el Pabellon 7,,Accesos,Secundario,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
22,IFEMA,Pabellon 8,40.46862,-3.61722,Puerta Calle - Pabellon 5,Entrada desde la calle hasta el Pabellon 5,,Accesos,Principal,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
23,IFEMA,Pabellon 8,40.46918,-3.61492,Puerta Interior - Pabellon 8,Entrada desde el recinto interior hasta el Pabellon 8,,Accesos,Secundario,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
24,IFEMA,Pabellon 5,40.46719,-3.61861,Puerta Calle - Pabellon 5,Entrada desde la calle hasta el Pabellon 5,,Accesos,Principal,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
25,IFEMA,Pabellon 5,40.46774,-3.61733,Puerta Interior - Pabellon 5,Entrada desde el recinto interior hasta el Pabellon 5,,Accesos,Principal,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
26,IFEMA,Pabellon 6,40.46783,-3.61669,Puerta Calle - Pabellon 6,Entrada desde la calle hasta el Pabellon 6,,Accesos,Secundario,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
27,IFEMA,Pabellon 6,40.46809,-3.61483,Puerta Interior - Pabellon 6,Entrada desde el recinto interior hasta el Pabellon 6,,Accesos,Secundario,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
28,IFEMA,Pabellon 3,40.46638,-3.61944,Puerta Calle - Pabellon 3,Entrada desde la calle hasta el Pabellon3,,Accesos,Principal,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
29,IFEMA,Pabellon 3,40.46672,-3.61709,Puerta Interior - Pabellon 3,Entrada desde el recinto interior hasta el Pabellon 3,,Accesos,Secundario,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
30,IFEMA,Pabellon 4,40.4667,-3.61679,Puerta Calle - Pabellon 4,Entrada desde la calle hasta el Pabellon 4,,Accesos,Principal,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
