mes,pais_orig_cod,pais_orig,mun_dest_cod,mun_dest,turistas,CMUN,Target
2019-07,030,TOTAL AMÉRICA,28030,"CABRERA, LA",35,030,35
2019-07,103,BÉLGICA,28030,"CABRERA, LA",36,030,36
2019-07,110,FRANCIA,28030,"CABRERA, LA",114,030,114
2019-07,121,PAÍSES BAJOS,28030,"CABRERA, LA",49,030,49
2019-07,125,REINO UNIDO,28030,"CABRERA, LA",58,030,58
2019-07,000,TOTAL,28031,CADALSO DE LOS VIDRIOS,77,031,77
2019-07,010,TOTAL EUROPA,28031,CADALSO DE LOS VIDRIOS,70,031,70
2019-07,011,TOTAL UNIÓN EUROPEA,28031,CADALSO DE LOS VIDRIOS,62,031,62
2019-07,000,TOTAL,28032,CAMARMA DE ESTERUELAS,172,032,172
2019-07,010,TOTAL EUROPA,28032,CAMARMA DE ESTERUELAS,138,032,138
2019-07,011,TOTAL UNIÓN EUROPEA,28032,CAMARMA DE ESTERUELAS,110,032,110
2019-07,000,TOTAL,28033,CAMPO REAL,139,033,139
2019-07,010,TOTAL EUROPA,28033,CAMPO REAL,109,033,109
2019-07,011,TOTAL UNIÓN EUROPEA,28033,CAMPO REAL,104,033,104
2019-07,000,TOTAL,28034,CANENCIA,72,034,72
2019-07,010,TOTAL EUROPA,28034,CANENCIA,68,034,68
2019-07,011,TOTAL UNIÓN EUROPEA,28034,CANENCIA,62,034,62
2019-07,121,PAÍSES BAJOS,28034,CANENCIA,31,034,31
2019-07,000,TOTAL,28035,CARABAÑA,66,035,66
2019-07,010,TOTAL EUROPA,28035,CARABAÑA,51,035,51
2019-07,011,TOTAL UNIÓN EUROPEA,28035,CARABAÑA,38,035,38
2019-07,000,TOTAL,28036,CASARRUBUELOS,129,036,129
2019-07,010,TOTAL EUROPA,28036,CASARRUBUELOS,105,036,105
2019-07,011,TOTAL UNIÓN EUROPEA,28036,CASARRUBUELOS,105,036,105
2019-07,110,FRANCIA,28036,CASARRUBUELOS,36,036,36
2019-07,000,TOTAL,28037,CENICIENTOS,36,037,36
2019-07,000,TOTAL,28038,CERCEDILLA,281,038,281
2019-07,010,TOTAL EUROPA,28038,CERCEDILLA,223,038,223
2019-07,011,TOTAL UNIÓN EUROPEA,28038,CERCEDILLA,176,038,176
2019-07,030,TOTAL AMÉRICA,28038,CERCEDILLA,47,038,47
2019-07,031,TOTAL AMÉRICA DEL NORTE,28038,CERCEDILLA,31,038,31
2019-07,102,AUSTRIA,28038,CERCEDILLA,42,038,42
2019-07,110,FRANCIA,28038,CERCEDILLA,32,038,32
2019-07,125,REINO UNIDO,28038,CERCEDILLA,34,038,34
2019-07,000,TOTAL,28040,CIEMPOZUELOS,1274,040,1274
2019-07,010,TOTAL EUROPA,28040,CIEMPOZUELOS,1143,040,1143
2019-07,011,TOTAL UNIÓN EUROPEA,28040,CIEMPOZUELOS,1081,040,1081
2019-07,020,TOTAL ÁFRICA,28040,CIEMPOZUELOS,32,040,32
2019-07,030,TOTAL AMÉRICA,28040,CIEMPOZUELOS,83,040,83
2019-07,031,TOTAL AMÉRICA DEL NORTE,28040,CIEMPOZUELOS,41,040,41
2019-07,033,TOTAL SUDAMÉRICA,28040,CIEMPOZUELOS,36,040,36
2019-07,103,BÉLGICA,28040,CIEMPOZUELOS,74,040,74
2019-07,107,DINAMARCA,28040,CIEMPOZUELOS,224,040,224
2019-07,110,FRANCIA,28040,CIEMPOZUELOS,222,040,222
2019-07,115,ITALIA,28040,CIEMPOZUELOS,61,040,61
2019-07,121,PAÍSES BAJOS,28040,CIEMPOZUELOS,106,040,106
2019-07,122,POLONIA,28040,CIEMPOZUELOS,38,040,38
2019-07,123,PORTUGAL,28040,CIEMPOZUELOS,53,040,53
2019-07,125,REINO UNIDO,28040,CIEMPOZUELOS,49,040,49
2019-07,126,ALEMANIA,28040,CIEMPOZUELOS,121,040,121
2019-07,131,SUECIA,28040,CIEMPOZUELOS,80,040,80
2019-07,302,EE.UU.,28040,CIEMPOZUELOS,39,040,39
2019-07,000,TOTAL,28041,COBEÑA,202,041,202
2019-07,010,TOTAL EUROPA,28041,COBEÑA,164,041,164
2019-07,011,TOTAL UNIÓN EUROPEA,28041,COBEÑA,127,041,127
2019-07,030,TOTAL AMÉRICA,28041,COBEÑA,33,041,33
2019-07,102,AUSTRIA,28041,COBEÑA,45,041,45
2019-07,110,FRANCIA,28041,COBEÑA,35,041,35
