GEOCODIGO,DESBDT,capacidad_zona,prop_riesgo,tasa_riesgo,tasa_mayores,poblacion_mayores,nombre_zona,nsec,t3_1,t1_1,t2_1,t2_2,t4_1,t4_2,t4_3,t5_1,t6_1,t7_1,t8_1,t9_1,t10_1,t11_1,t12_1,area,densidad_hab_km
222,Rascafría,700,0.27298667241665864,0.01321120652838911,0.02077303122736923,0.24885590017825313,Rascafría,4,48.49413975044563,2805,0.4523893404634581,0.5476106595365419,0.0973116577540107,0.6538324420677362,0.24885590017825313,0.17539286987522282,0.19249661319073083,0.04899557932263813,0.03480163992869875,0.318753440285205,0.1210784670231729,0.4674318360071302,0.5317186809269162,258284986.107943,10.86009698925252
223,Reina Victoria,8625,0.2125638085755659,0.0097764543155301,0.01703131357843378,0.19359942211638984,Reina Victoria,27,43.483468564873974,34436,0.5461759292600767,0.4538240707399233,0.11740965849692182,0.6889822308049715,0.19359942211638984,0.2059187565338599,0.325997011848066,0.05621775177140202,0.04906134568474852,0.47284376234173536,0.1168304594029504,0.5096550121965385,0.5777618916250435,1195965.62764196,28793.469648367867
224,Rejas,5334,0.12849675651709494,0.0013339079658758,0.0081675775956733,0.11737853175899568,Rejas,12,39.319039814253046,21427,0.5129038689503898,0.4870961310496103,0.1856099080599244,0.6970330564241378,0.11737853175899568,0.16301739394222242,0.2493924907826574,0.05951909740047604,0.04850408829980865,0.5496873337378074,0.09668437952116488,0.5967917860643114,0.6599375274186774,5007776.54435092,4278.74522959116
225,Reyes Católicos,5116,0.2358245801083543,0.01001065929840134,0.02011292688423899,0.2150463046021841,Reyes Católicos,16,44.1416190425117,20512,0.5244203198127926,0.47557968018720753,0.12923601794071762,0.6557097552652106,0.2150463046021841,0.16526696080343214,0.2514721333853354,0.03502726209048362,0.0235066253900156,0.2571426092043682,0.13532701833073324,0.4837827905616225,0.559711895475819,519428.127624776,39489.58269510087
227,Rivas - La Paz,5726,0.15780277198172118,0.00684849833035926,0.02991601036059366,0.1440012912231722,Rivas - La Paz,15,42.72512288867562,22924,0.512857725527831,0.4871422744721689,0.1218327909614378,0.7341737044145873,0.1440012912231722,0.11921742715058456,0.15803953934740883,0.07172603385098586,0.04968458384226138,0.36057503489792353,0.12365916070493806,0.5354923311812947,0.6112161446518932,2689839.54469996,8522.441438995602
228,Rivas - Santa Mónica,14589,0.07066092976612377,0.00829515710069797,0.03593967453903737,0.06393803532501416,Rivas - Santa Mónica,24,34.78998174702621,58259,0.5022257522442884,0.4977742477557115,0.2416642235534424,0.6944000841071766,0.06393803532501416,0.07284953569405585,0.11553543658490534,0.06645856777493606,0.05253213409087007,0.5166420209753,0.08619294529600577,0.6774732899637824,0.7402453166034433,4827597.66553243,12067.907070208325
229,Rivas - 1º de Mayo,3028,0.08924732250292976,0.00421713818682073,0.0062728872907083,0.08096511704855655,Rivas - 1º de Mayo,6,36.466370204317975,12089,0.4966371660186947,0.5033628339813053,0.22374857308296797,0.6952733311274713,0.08096511704855655,0.10944283232690875,0.15467632558524275,0.07846906278434941,0.06166045992224336,0.40232439407726034,0.160578046157664,0.5537021672594921,0.656447489453222,59967601.272682,201.5921888392607
230,Robledo de Chavela,2437,0.18499879892883372,0.01901570953958733,0.0175038906695768,0.16819192469910502,Robledo de Chavela,5,42.1158289064911,9721,0.4824298117477626,0.5175701882522374,0.16952516202036827,0.6622550252031684,0.16819192469910502,0.1574893220862051,0.20572976031272505,0.03920412509001132,0.02771177862359839,0.3206639954737167,0.17261260158419917,0.48440670712889616,0.5848281966875837,250134607.693101,38.86307492455038
231,Rosa Luxemburgo,5676,0.20825763614927337,0.00834433981804389,0.03159424526855552,0.1892687643121367,Rosa Luxemburgo,14,43.2317139158006,22708,0.514481891844284,0.4855181081557161,0.1306969658270213,0.6800244319182667,0.1892687643121367,0.06931837237977805,0.12117891051611768,0.07145541659327109,0.05541948652457283,0.46944545974986784,0.09765827461687512,0.5293144662673948,0.5856593227056545,2201093.20355554,10316.691707247375
232,San Andrés,6386,0.19872773046071032,0.00197243293873461,0.00885777652156403,0.18047910862419783,San Andrés,21,42.35974761699797,25556,0.5290367858819847,0.47096321411801534,0.15179156362498042,0.6677464744091407,0.18047910862419783,0.25776182892471433,0.38840564251056503,0.03268256769447487,0.01984405619032712,0.17805365471904838,0.20861964313664108,0.4434872945687901,0.5604388910627641,591335.584169784,43217.42287144752
233,San Blas,7243,0.16434621810762734,0.0109859671936974,-0.00528500688850388,0.14866092422463217,San Blas,14,39.34379113766664,28954,0.5009369033639566,0.49906309663604337,0.18690640671409825,0.664420556745182,0.14866092422463217,0.2792629584858741,0.3419196794916074,0.03322250120881398,0.0212872038405747,0.16490636181529322,0.194255325689024,0.4605699143468951,0.5694285072874214,7633175.47268755,3793.17888126652
234,San Cristóbal,4961,0.11832862689327751,0.01131587823202737,0.01064097441486687,0.10713383527033855,San Cristóbal,12,37.65158586154623,19790,0.5069629813036887,0.4930370186963113,0.19156814047498735,0.701321930267812,0.10713383527033855,0.3210223294593229,0.4963259676604346,0.03139896412329459,0.01929865588681151,0.15333417887822132,0.24201826174835775,0.44220621526023246,0.581287054067711,5931911.45649514,3336.1927508764416
235,San Diego,6663,0.154086875347857,0.00507086649795354,0.01032760542064434,0.14006826134192485,San Diego,18,40.351890963923125,26693,0.520299872625782,0.479700127374218,0.1494739632113288,0.7104586108717642,0.14006826134192485,0.2824948788071779,0.41553586333495673,0.03460380624133668,0.0238930468662196,0.21976131570074553,0.2024702169108006,0.45768688045555017,0.5742277863110179,706377.036332599,37788.601026140306
236,San Fermín,5330,0.16567255494423977,-0.00444460335839772,0.02047488592327796,0.15132479350478692,San Fermín,14,40.798100844753144,21308,0.5228582785808148,0.47714172141918526,0.16181518678430637,0.6868730148301108,0.15132479350478692,0.1937215505913272,0.29852134409611414,0.04609795382016144,0.03313855828796696,0.24265114041674488,0.18421693260747135,0.4675894593579876,0.5724423033602403,1471903.19073185,14476.495556345237
237,San Fernando,5436,0.13735997350273982,0.00679759148717442,0.01596263206501965,0.12523328105539924,San Fernando,13,40.93551931362148,21679,0.512934521887541,0.4870654781124591,0.1434142395866968,0.7313550071497763,0.12523328105539924,0.11116076387287235,0.1306368190414687,0.06199869920199271,0.04283453572581761,0.28119981548964434,0.12685348493934223,0.5604374187001245,0.641434854006181,961229.667687536,22553.40292622671
238,San Isidro,4389,0.20346268005738707,0.01285253817960242,0.02231496128244632,0.1839974272289709,San Isidro,14,43.26409140499656,17452,0.5253376919550767,0.4746623080449232,0.12789573687829475,0.6881048418519368,0.1839974272289709,0.202032162502865,0.31033364657345863,0.04170842310336924,0.03074468828787531,0.3061713041485217,0.2130723412789365,0.4515037703415081,0.5725216135686454,1179259.9280931,14799.11220948585
239,San Juan de la Cruz,6325,0.23086541152274975,0.00970138361978695,0.01577627592073254,0.20935917536369383,San Juan de la Cruz,18,42.93741816492726,25296,0.5241877688172043,0.4758122311827957,0.16137244228336495,0.6292676193864642,0.20935917536369383,0.1264650221378874,0.19855756246046805,0.07941863140417457,0.07198180344718533,0.5037309456040481,0.08428969006957622,0.4829119663187855,0.5282295264073371,19926040.1088589,1269.4945840620726
240,San Lorenzo de El Escorial,5384,0.1941235938867827,0.00950910627997382,0.02374118394695298,0.17698668084909588,San Lorenzo de El Escorial,11,42.75045837302872,21623,0.5137538824399944,0.4862461175600056,0.1591410535078389,0.6638722656430652,0.17698668084909588,0.106918572815983,0.16930473569809923,0.06324619617999352,0.04861849419599501,0.4405710909679508,0.1331316006104611,0.4931590806086112,0.5684333256254914,152393910.603793,141.88887150627275
241,San Martín de Valdeiglesias,2887,0.2185861119256869,0.01280410364310058,0.01633994225002985,0.1986923396880416,San Martín de Valdeiglesias,5,43.08136298093587,11540,0.4996566204506066,0.5003433795493935,0.16109466204506068,0.6401875043327557,0.1986923396880416,0.17393436741767765,0.19313351819757368,0.04343168110918544,0.02988717504332756,0.24208143847487,0.21482112651646443,0.4293452166377816,0.5469294627383016,124101033.564745,92.98875012172596
242,San Martín de la Vega,4942,0.11322210490555942,0.00406770680710263,0.03190101446521062,0.103430942995755,San Martín de la Vega,8,37.746404805942994,19788,0.48593417727915905,0.514065822720841,0.2005896199717,0.6959843036183545,0.103430942995755,0.192268470790378,0.2261642106327067,0.04243079138872043,0.02755205680210228,0.22656144633110975,0.16240237012330705,0.5424860268849808,0.6457550333535476,105169480.597225,188.1534442086246
243,Sanchinarro,12255,0.05823836968633807,0.01548388522137121,0.01262672474742771,0.05349444999897978,Sanchinarro,19,32.951473427329674,49009,0.5079262564018854,0.4920737435981146,0.28886487379869,0.657634497745312,0.05349444999897978,0.09588602297537188,0.156580585198637,0.07181605215368606,0.06485933604031913,0.7308019322981493,0.06347974861760085,0.6934403640147728,0.7400157440470116,4981654.67752897,9837.895874450644
244,Santa Eugenia,6032,0.2523508229063489,0.00997327985860917,0.02290666645439265,0.22868399387087424,Santa Eugenia,18,45.666961291257714,24147,0.5213131734791071,0.4786868265208929,0.11703314283347828,0.6542895514970805,0.22868399387087424,0.10183609972253282,0.14606213608315732,0.05566532902638008,0.04347354536795461,0.3698076282768046,0.13682478154636188,0.4795537665134385,0.5556549385016772,2065583.31952417,11690.160242755315
