id,intensidad,ocupacion,carga,vmed,tipo_elem_estacion,distrito,id_punto,cod_cent,nombre,Long,Lat
3914,329,12.0,17,0.0,URB,11.0,5292,85400,(TACTICO) BALEARES S-N,-3.71359593677208,40.3965507198873
3868,96,5.0,8,0.0,URB,11.0,5288,85014,ANTONIO LÓPEZ O-E (BALEARES-MONTSERRAT),-3.71312811080291,40.3964981900459
4046,38,42.0,29,0.0,URB,1.0,3476,90015,TOLEDO N-S(HUMILLADERO-PUERTA TOLEDO),-3.71107003841569,40.4079851494202
4034,471,2.0,31,0.0,URB,2.0,3418,90002,Po PONTONES E-O(STA.CASILDA-PL. FCO. MORANO),-3.71515519030971,40.4050763948414
3866,148,2.0,6,0.0,URB,11.0,5286,85012,ANTONIO LOPEZ O-E (MARQUES DE VADILLO-BALEARES),-3.7149689784018,40.3973679595141
4167,337,4.0,23,0.0,URB,17.0,10017,94026,VALLE TOBALINA S-N (MONTEJO-BASCUÑUELOS),-3.71533133001198,40.337010879904
4161,312,3.0,18,0.0,URB,17.0,5401,94020,VALLE TOBALINA N-S(MONTEJO-SAN EZEQUIEL),-3.71548658967742,40.3345771001409
4117,80,2.0,10,0.0,URB,8.0,4731,93014,Camino ganapanes N-S((Chantada-Valle de Mena),-3.71459521835817,40.4704521512003
4146,65,2.0,7,0.0,URB,17.0,3484,94005,AV. REAL PINTO N-S(RESINA-SAN EZEQUIEL),-3.71233184035068,40.3346825333865
4295,216,6.0,24,0.0,URB,2.0,3515,97077,Salida Calle 30 E-O - (By-Pass M-30 -Gta.Pirámides)a 280mts,-3.71132695499166,40.3987352299953
4047,74,3.0,15,0.0,URB,1.0,3477,90016,RONDA DE SEGOVIA E-O(CARLOS ARNICHES-PUERTA TOLEDO),-3.7104255828302,40.4065054337083
4066,239,2.0,9,0.0,URB,1.0,4712,90038,TOLEDO S-N(ARGANZUELA-LOPEZ SILVA),-3.70976847745269,40.4095477448267
4052,722,4.0,33,0.0,URB,2.0,4700,90021,(AFOROS) TOLEDO N-S(PUERTA TOLEDO -SANTA CASILDA),-3.71219571025089,40.4057196398231
3869,295,1.0,8,0.0,URB,11.0,5289,85015,ANTONIO LÓPEZ E-O (ORGAZ-MONTSERRAT),-3.71214820215479,40.3960953047931
3909,445,2.0,18,0.0,URB,11.0,10954,85057,ANTONIO LEYVA S-N (TOMASMEABE-JACINTO VERDAGUER),-3.71538695237516,40.3950310598611
4051,1139,4.0,26,0.0,URB,2.0,4699,90020,SANTA CASILDA O-E(Po PONTONES-TOLEDO),-3.71373397514978,40.4050580550728
4160,40,3.0,6,0.0,URB,17.0,5400,94019,ASTILLERO N-S(ESCRIBANOS-DOMINGO PARRAGA),-3.71406713681282,40.342506641117
4143,32,13.0,16,0.0,URB,17.0,5386,94002,LAGUNA MARQUESADO E-O(LAGUNA CAMEROS-AV. REAL PINTO),-3.71157981494242,40.3337136767371
4053,716,2.0,34,0.0,URB,2.0,4701,90022,TOLEDO S-N(JUAN ANTONIO VALLEJO- NAJERA BOTAS-SANTA CASILDA),-3.7127176649905,40.4041639913522
4150,32,2.0,4,0.0,URB,17.0,10015,94009,MONTEJO O-E(CIUDAD FRIAS-AV. REAL PINTO),-3.71284085374716,40.3357502678247
4163,444,4.0,22,0.0,URB,17.0,5403,94022,SAN EZEQUIEL E-O(AV. REAL PINTO-VALLE TOBALINA),-3.71451810404387,40.3336229987467
3882,420,2.0,8,0.0,URB,11.0,10929,85028,MARQUES JURA REAL N-S(JOAQUIN MARTINEZ BORREGERO-BALEARES),-3.71162835056721,40.390952109407
4293,228,2.0,17,0.0,URB,2.0,3507,97075,Salida Calle 30 E-O - (M-30 -Gta.Pirámides) a 80mts,-3.71255630982681,40.4003657375479
4141,386,2.0,13,0.0,URB,8.0,9976,93040,BECERREA E-O,-3.71362548371486,40.4713377898134
4139,398,2.0,8,0.0,URB,8.0,9974,93038,CAMINO GANAPANES N-S,-3.71496176775233,40.472433584629
4298,296,12.0,33,0.0,URB,2.0,4706,97080,Pº Yeserias E-O - Melilla-Gta.Pirámides,-3.71285009594515,40.4005439503353
4119,334,2.0,12,0.0,URB,8.0,4733,93016,Valle de Mena O-E(Valderodrigo-Camino de ganapanes),-3.71575105898531,40.4699763552857
3871,173,1.0,6,0.0,URB,11.0,5291,85017,ANTONIO LÓPEZ E-O JUNTO PP ESTEBAN ARTEAGA,-3.7098345402093,40.3950000621458
3908,53,1.0,8,0.0,URB,11.0,10955,85056,JACINTO VERDAGUER E-O (BALEARES-ANTONIO LEYVA),-3.71418220189718,40.3962335184853
4290,155,5.0,21,0.0,URB,2.0,4702,97072,Pº.Imperial N-S - Pl.Fco.Morano-Gta.Pirámides,-3.71515040238534,40.4020418385078
4152,42,0.0,8,0.0,URB,17.0,5392,94011,SAN ERASMO S-N(SAN CESARIO-SAN NORBERTO),-3.70657290671911,40.3388928736334
4071,252,1.0,12,0.0,URB,1.0,4717,90043,SEGOVIA E-O(CAVA BAJA -TOLEDO),-3.70808792710814,40.4136181863972
3472,112,1.0,6,0.0,URB,8.0,6583,76003,"SANTUARIO VALVERDE, 6 N-S (SANTUARIO VALVERDE - MONASTERIO ESCORIAL)",-3.70881674703066,40.5051899303274
4104,352,4.0,11,0.0,URB,6.0,10155,92007,PSO. DIRECCION N-S (CAPITAN BLANCO ARGIBAY-ALBERDI),-3.70837493579717,40.4661386635814
3532,1592,4.0,30,70.0,URB,8.0,10687,76064,(CARRIL BUS) MONASTERIO HUELGAS N-S (AV. MONASTERIO SUSO Y YUSO-  MONASTERIO DE EL PAULAR),-3.70707417056889,40.5020002577031
1028,0,0.0,0,0.0,URB,17.0,4856,27039,PSO. TALLERES Ø9 O-E (RUBI-OPALO),-3.70372903662886,40.3474245266061
3856,480,3.0,11,0.0,URB,12.0,4792,85002,SAN GRACIANO E-O,-3.7038296584738,40.3924238447112
3858,395,2.0,11,0.0,URB,12.0,4793,85004,ANTONIO LOPEZ N-S(STA. Mª CABEZA-MARIBLANCA),-3.70499984496968,40.3925462002295
3498,186,2.0,10,0.0,URB,8.0,10366,76029,MONASTERIO BATUECAS N-S (MONASTERIO SILOS - MONASTERIO SUSO Y YUSO),-3.7047943372687,40.5028212536651
3521,1409,2.0,26,99.0,URB,8.0,10432,76053,MONASTERIO PAULAR E-O  (MONASTERIO BATUECAS-  MONASTERIO HUELGAS),-3.70649917803463,40.5013419545261
4102,88,2.0,6,0.0,URB,6.0,5759,92005,Pso Direccion E-O (Almortas-Gardenias),-3.7060269935365,40.4649474722399
1013,60,,0,61.0,URB,17.0,3624,27005,DR. MARTIN AREVALO ENTRE Ø34 Y P.P. O-E(ALBINO HDEZ. LAZARO-REAL PINTO),-3.707003680318,40.3459461592173
1010,120,,0,61.0,URB,17.0,4840,27002,SAN JENARO Ø4 S-N(ARROYO BUENO-ALCOCER),-3.70442200147425,40.3491978069098
4269,248,7.0,15,0.0,URB,9.0,3439,97029,Av.Pablo Iglesias N-S  - Juán Montalvo - Reina Victoria,-3.70894472074334,40.4478761716416
4101,227,1.0,13,0.0,URB,6.0,5760,92004,Pso. Direccion S-N (Marques Viana - Aligustre),-3.70634665723091,40.4645478460384
3485,220,1.0,6,0.0,URB,8.0,5880,76016,COSTA BRAVA E-O(VALLE FUENFRIA-MONASTERIO HUELGAS),-3.707574378204,40.4984628070253
4103,91,3.0,12,0.0,URB,6.0,7097,92006,Pso. Direccion N-S (Aligustre-Marques Viana),-3.70648316146635,40.4646502491814
3519,55,0.0,7,0.0,URB,8.0,10421,76051,MONASTERIO BATUECAS S-N(AV. MONASTERIO SILOS-AV. MONASTERIO DE EL ESCORIAL),-3.70465844844901,40.5038527244415
4268,171,2.0,8,0.0,URB,7.0,3411,97028,Av.Pablo Iglesias S-N  - San Francisco de Sales-Reina Victoria,-3.70740510632971,40.4461188807384
4044,313,1.0,21,0.0,URB,2.0,10038,90013,ARGANDA N-S (VALDELASIERRA -YESERIAS),-3.70448022493779,40.3975690953075
3503,136,5.0,18,0.0,URB,8.0,10370,76034,MONASTERIO SUSO Y YUSO E-O (MONASTERIO BATUECAS - MONASTERIO HUELGAS),-3.70566918386617,40.5024127137042
1024,0,0.0,0,0.0,URB,17.0,4852,27035,"VILLALONSO, 41 O-E(JUAN PEÑALVER-HUERTA VILLAVERDE)",-3.70725287200066,40.3494890650788
4156,54,1.0,4,0.0,URB,17.0,5396,94015,DOMINGO PARRAGA E-O(PZ. GOMEZ ACEBO-AV. REAL PINTO),-3.70786882086139,40.3420538401473
3524,81,1.0,9,0.0,URB,8.0,10423,76056,MONASTERIO BATUECAS S-N(AV. MONASTERIO SUSO Y YUSO-AV. MONASTERIO SILOS),-3.70474689228805,40.5028941763689
3528,4,0.0,2,0.0,URB,8.0,10419,76060,(CARRIL BUS) MONASTERIO HUELGAS N-S (AV. MONASTERIO SUSO Y YUSO-  MONASTERIO DE EL PAULAR),-3.70558780191488,40.5035079958306
3496,131,2.0,9,48.0,URB,8.0,10383,76027,AV. SANTUARIO VALVERDE E-O(MONASTERIO DE LAS HUELGAS-MONASTERIO DE BATUECAS),-3.70551431839907,40.5055290969193
4153,358,0.0,12,0.0,URB,17.0,5393,94012,SAN NORBERTO O-E(AV. REAL PINTO-SAN ERASMO),-3.70719156155124,40.3397567218213
4154,349,0.0,12,0.0,URB,17.0,5394,94013,AV. REAL PINTO N-S(GOMEZ ACEBO-AV. REAL PINTO),-3.70722105768585,40.3431147786535
3876,79,1.0,4,0.0,URB,11.0,5296,85022,MARQUES JURA REAL N-S (ANTONIO LÓPEZ-PEDRO YAGUE),-3.70820782236585,40.3935947972892
3501,77,3.0,8,0.0,URB,8.0,10369,76032,MONASTERIO BATUECAS S-N (MONASTERIO RÁBIDA - MONASTERIO SUSO Y YUSO),-3.70484536820763,40.5018598062962
4061,263,2.0,19,0.0,URB,1.0,4707,90033,COLEGIATA O-E(TOLEDO-ROMANONES),-3.70634700313015,40.4129745193632
