ano,semana,site,benzene,co,no,no2,nox,o3,pm10,pm2.5,so2,site_name,X,Y
2021,36,es1567a,NA,NA,6.246987951807229,27.481927710843372,37.05421686746988,52.52121212121212,18.797619047619047,8.255952380952381,NA,LEGAN�S,-3.7545,40.3397
2021,36,es1568a,NA,0.39036144578313253,3.793939393939394,20.054545454545455,26.206060606060607,56.626506024096386,16.636904761904763,NA,1,M�STOLES,-3.87677,40.3242
2021,36,es1611a,NA,NA,1.536144578313253,10.126506024096386,12.771084337349398,61.98795180722892,16.910714285714285,NA,NA,ARANJUEZ,-3.5914,40.03327
2021,36,es1612a,NA,NA,2.7349397590361444,14.367469879518072,18.620481927710845,57.74390243902439,13.921686746987952,NA,NA,MAJADAHONDA,-3.8689,40.4461
2021,36,es1613a,NA,0.6137724550898204,3.55688622754491,15.419161676646707,21.01197604790419,62.62048192771084,14.19047619047619,NA,NA,COLMENAR VIEJO,-3.7739,40.6646
2021,36,es1645a,NA,NA,6.524390243902439,27.798780487804876,37.792682926829265,55.17182926829268,NA,NA,NA,BARAJAS - PUEBLO,-3.575,40.47472222
2021,36,es1752a,NA,NA,3.2560975609756095,21.317073170731707,26.48170731707317,57.32727272727273,21.125,8.642857142857142,NA,TORREJON DE ARDOZ,-3.4776,40.4495
2021,36,es1801a,NA,NA,1.7425149700598803,13.862275449101796,16.88622754491018,60.795180722891565,19.664670658682635,NA,NA,ARGANDA DEL REY,-3.45883056,40.3006944
2021,36,es1802a,0.1,0.6,1.0416666666666667,3.9047619047619047,5.946428571428571,83.06060606060606,12.964285714285714,6.065476190476191,1,EL ATAZAR,-3.4679,40.909
2021,36,es1803a,0.2714285714285714,NA,6.149700598802395,25.353293413173652,34.70238095238095,47.920731707317074,NA,10.94047619047619,1,COLLADO VILLALBA,-4.01425,40.6339
2021,36,es1805a,NA,NA,1.4698795180722892,7.228915662650603,9.837349397590362,57.18674698795181,14.482142857142858,NA,NA,GUADALIX DE LA SIERRA,-3.702147222,40.780633333
2021,36,es1806a,NA,0.45748502994011975,1.1197604790419162,5.0119760479041915,7.131736526946108,70.8433734939759,14.676646706586826,NA,2.412121212121212,ORUSCO DE TAJU�A,-3.2211,40.2876
2021,36,es1807a,NA,NA,5.233532934131737,22.67065868263473,30.772455089820358,55.75449101796407,19.197604790419163,NA,NA,RIVAS-VACIAMADRID,-3.5429,40.3597
2021,36,es1808a,NA,NA,1.1393939393939394,5.503030303030303,7.684848484848485,72.83435582822086,13.714285714285714,NA,NA,SAN MARTIN DE VALDEIGLESIAS,-4.3981,40.3677
2021,36,es1809a,NA,NA,1.9759036144578312,15.813253012048193,19.16867469879518,59.41566265060241,NA,9.386904761904763,NA,VALDEMORO,-3.680265,40.185241
2021,36,es1810a,NA,0.19212121212121214,1.3636363636363635,6.084848484848485,8.539393939393939,69.29878048780488,17.196428571428573,9.44047619047619,2.0545454545454547,VILLA DEL PRADO,-4.2752,40.2479
2021,36,es1811a,NA,NA,1.6347305389221556,11,13.77710843373494,67.7289156626506,NA,10.650602409638553,NA,VILLAREJO DE SALVANES,-3.2766,40.1672
