id_inf,grupo,tipo,nombre,CODMUN,DIRECCION,info,CMUN,CDIS,dist_aeropuerto,dist_intercambiador,dist_cercanias,dist_hospital,dist_universidad,dist_gob,dist_embajada,dist_ccomercial,X,Y
57,Transporte,Estaciones de Cercanías,Las Margaritas,065,065,Líneas: C-4,065,02,6.62874345492409,4.283288367444722,0,1.7433848797700824,0.8261777129602016,0.2644136702727359,0.27539698768424764,0.11751571626059536,-3.727260559723739,40.322988591456834
58,Transporte,Estaciones de Cercanías,Getafe Centro,065,065,Líneas: C-4,065,03,7.552191486316563,5.764332597343921,0,0.7758536315873961,1.21280735587997,0.33314955293945336,0.09273301885381918,0.21494717920231127,-3.734069220443348,40.30993140532151
59,Transporte,Estaciones de Cercanías,Getafe Sector 3,065,065,Líneas: C-4,065,01,9.661101685460364,7.950815210217473,0,2.733198693174289,0.4785733827304008,0.6077436577279596,0.30451280683452175,0.5559713762642601,-3.737516829750373,40.28824232118714
60,Transporte,Estaciones de Cercanías,Parla,106,106,Líneas: C-4,106,01,14.390929776884342,13.85390460724876,0,2.7851921061769924,0.4785733827304008,0.6077436577279596,0.30451280683452175,0.5559713762642601,-3.769298822743124,40.24100705353431
61,Transporte,Estaciones de Cercanías,Móstoles - El Soto,092,092,Líneas: C-5,092,02,10.12144766848899,11.714053082947355,0,1.3682277899341662,1.376805494183042,0.7258953916559308,0.6023424573290214,1.7677788072467542,-3.882423908578391,40.33097626804134
62,Transporte,Estaciones de Cercanías,Móstoles,092,092,Líneas: C-5,092,02,8.865785785861819,10.726150020314757,0,1.315959249821533,0.7535106068683994,0.21032034326935645,0.13015314790296262,0.28066456140285756,-3.863780840884834,40.328495338110606
63,Transporte,Estaciones de Cercanías,Las Retamas,007,007,Líneas: C-5,007,01,6.547480010361599,8.398099908934718,0,0.5725946831164989,2.103364808554298,3.1061661842794583,3.5033327908983587,1.8743603494614125,-3.842334076004651,40.34182483877223
64,Transporte,Estaciones de Cercanías,Alcorcón,007,007,Líneas: C-5,007,01,5.340909888136675,7.11071168523812,0,0.48215476230178406,0.24788945556283248,0.3612654278620726,0.337127232240088,0.4864781659821835,-3.832042413325697,40.35034086531827
65,Transporte,Estaciones de Cercanías,San José de Valderas,007,007,Líneas: C-5,007,02,3.7975516542994607,5.66643425839783,0,2.024741718369236,2.913538277959651,2.190712312286167,1.679033436819325,0.5425545316047595,-3.815833980607516,40.35671765959523
66,Transporte,Estaciones de Cercanías,Cuatro Vientos,079,079,Líneas: C-5,079,10,1.6356776222053273,2.5740804561699377,0,2.234097318203782,0.5046222490088804,0.2700920057070608,0.12667769698412146,0.600757441466007,-3.791442436944928,40.37774657576195
67,Transporte,Estaciones de Cercanías,Las Águilas,079,079,Líneas: C-5,079,10,1.2863653805000048,1.7116222320829246,0,1.8971685828577136,0.33622135274256587,1.2615016330445166,0.3783103543715854,0.634451639963103,-3.780135573935539,40.38117576552458
68,Transporte,Estaciones de Cercanías,Fanjul,079,079,Líneas: C-5,079,10,1.5640751748257835,0.702805765406665,0,0.9430868798571068,0.7689281325064995,0.12892049721096874,0.2107197502619391,0.5498147861446069,-3.768665874260952,40.38364307652316
69,Transporte,Estaciones de Cercanías,Aluche,079,079,Líneas: C-5,079,10,2.0948475556165884,0.05169309997355447,0,0.5447263867581347,0.4269248492041274,0.2517067353463854,0.0902614905042947,0.5947112260282089,-3.761148781861616,40.38609832089714
70,Transporte,Estaciones de Cercanías,Laguna,079,079,Líneas: C-5,079,10,4.104016787449108,2.042126604278369,0,0.2773956405903619,4.444785238075488,1.9424845379097184,4.065605029771704,1.5422985085343437,-3.744227480480789,40.39902981334851
71,Transporte,Estaciones de Cercanías,Embajadores,079,079,Líneas: C-5,079,01,7.23645408834003,1.097734677094243,0,1.0564657177415488,0.46538193478030626,0.8217251251350265,0.9651347508361812,0.8780967845467462,-3.7025767778820575,40.40520034065008
72,Transporte,Estaciones de Cercanías,Méndez Álvaro,079,079,"Líneas: C-1, C-5, C-10",079,02,8.681303367634516,0.07171558480412833,0,1.323977826359734,0.8238995855483037,0.7403311393201409,0.21275913848759184,1.022651396397543,-3.6778257303169624,40.39576078902552
