Jazmín,2303,cafe,"[-3.6652111, 40.4807413]"
Cafetería Globcafé,2301,restaurant,"[-3.667816, 40.4828907]"
La Fragua Del Pinar,2301,restaurant,"[-3.6705259, 40.4825647]"
Ni Hao,2301,restaurant,"[-3.6659151, 40.4817015]"
Restaurante La Tagliatela,2301,restaurant,"[-3.6655135, 40.4862506]"
La Castafiore,2301,restaurant,"[-3.6935468, 40.4230858]"
Ohana5,2303,cafe,"[-3.4740863, 40.4541309]"
Daylu,2303,cafe,"[-3.471882, 40.4535518]"
La Mezquita,2303,cafe,"[-3.4705694, 40.4506171]"
Todo Rico,2301,restaurant,"[-3.4631402, 40.4458464]"
Manolo,2304,pub,"[-3.586551, 40.47049]"
Finca Lucero Celebraciones,2301,restaurant,"[-3.583035, 40.4708871]"
Finca Lucero,2301,restaurant,"[-3.582929, 40.4705945]"
El Porche,2301,restaurant,"[-3.5826133, 40.4708744]"
Las Villas,2304,pub,"[-3.5836814, 40.4700566]"
Cervecería Capilla,2304,pub,"[-3.5842017, 40.4700567]"
Bar Cris Mar,2304,pub,"[-3.584006, 40.4700505]"
,2304,pub,"[-3.5862729, 40.4707011]"
La Caprichosa,2304,pub,"[-3.5774536, 40.4731531]"
Can Punyetes,2301,restaurant,"[-3.710711, 40.4159664]"
Orale Compadre,2301,restaurant,"[-3.6443392, 40.5322395]"
La Cumbre,2301,restaurant,"[-3.7931761, 40.4375239]"
,2303,cafe,"[-3.6711726, 40.5082246]"
Bar El Tambarón,2304,pub,"[-3.6521732, 40.4429073]"
Torres,2303,cafe,"[-3.6516829, 40.4425545]"
Bar Restaurante El Paleto,2301,restaurant,"[-3.6717472, 40.4164723]"
Magaly,2301,restaurant,"[-3.656597, 40.4410287]"
La Lupa,2301,restaurant,"[-3.663289, 40.4415091]"
Magadán,2303,cafe,"[-3.7224188, 40.4292399]"
Restaurante Monte Alina,2301,restaurant,"[-3.8408774, 40.4218419]"
Croché Cafetín,2303,cafe,"[-4.1477286, 40.5911525]"
Alaska,2303,cafe,"[-4.1469375, 40.591387]"
Cervecería Sapama,2302,fast_food,"[-3.6424732, 40.4406907]"
Cervecería El Acueducto,2302,fast_food,"[-3.6412092, 40.4382887]"
QOF,2305,bar,"[-3.6426533, 40.4395443]"
Cafetería J m J,2303,cafe,"[-3.6440481, 40.4394434]"
La Taberna del Hierro,2304,pub,"[-3.6444939, 40.440176]"
Miguelón,2301,restaurant,"[-3.6419218, 40.4366702]"
Mesón Tinajas,2301,restaurant,"[-3.6437704, 40.4367695]"
Los Parros,2301,restaurant,"[-3.6436812, 40.4366606]"
El Cafetín del Barrio,2301,restaurant,"[-3.6443448, 40.4376751]"
Otero,2305,bar,"[-3.6440189, 40.4410967]"
,2305,bar,"[-3.6394243, 40.43777]"
Bus,2305,bar,"[-3.6394847, 40.4378423]"
La Marina,2305,bar,"[-3.6395911, 40.4379561]"
Altagracia,2305,bar,"[-3.6401759, 40.4379692]"
Sake Dining Himawari,2301,restaurant,"[-3.6932565, 40.4226068]"
Vips,2301,restaurant,"[-3.6834992, 40.4304667]"
Barbacoa Koreana,2301,restaurant,"[-3.8101422, 40.4300331]"
Telepizza,2302,fast_food,"[-3.6797613, 40.432857]"
Carbón Negro,2303,cafe,"[-3.6781495, 40.4327522]"
,2304,pub,"[-3.6697576, 40.434219]"
Burger King,2302,fast_food,"[-3.6745991, 40.4344125]"
Cafetería Bruselas,2303,cafe,"[-3.6635351, 40.4377269]"
,2304,pub,"[-3.6774003, 40.435783]"
El Gato,2301,restaurant,"[-3.6632499, 40.438892]"
El olvido,2301,restaurant,"[-3.6868119, 40.4605477]"
Merendero La Playa,2301,restaurant,"[-4.3209305, 40.3704696]"
Kiosco Río Mar,2301,restaurant,"[-4.3214111, 40.3716989]"
Vicente,2301,restaurant,"[-4.3215345, 40.3723119]"
El Serengueti,2301,restaurant,"[-4.3239883, 40.3734479]"
Burger King,2302,fast_food,"[-3.8740624, 40.4549765]"
McDonald's,2302,fast_food,"[-3.8733539, 40.4558386]"
McDonald's,2302,fast_food,"[-3.8676029, 40.4534661]"
McDonald's,2302,fast_food,"[-3.8664718, 40.4653136]"
Trattoria Limbara,2301,restaurant,"[-3.702372, 40.4317789]"
El Rocío,2304,pub,"[-3.8143449, 40.4411693]"
Burger King,2302,fast_food,"[-3.8120808, 40.4561058]"
Erazo,2301,restaurant,"[-3.8776121, 40.4952889]"
Restaurante Córdoba,2301,restaurant,"[-3.8308025, 40.4184768]"
Casa de Córdoba,2301,restaurant,"[-3.6705485, 40.4551315]"
MasaNaomi,2301,restaurant,"[-3.7004621, 40.4526225]"
Haddock,2304,pub,"[-3.8758194, 40.4928726]"
Caserola,2301,restaurant,"[-3.8779408, 40.492169]"
El Colorao,2301,restaurant,"[-3.8447889, 40.9198388]"
Casa Berna,2301,restaurant,"[-3.8434189, 40.9179975]"
El Mirador de La Alameda,2301,restaurant,"[-3.8435604, 40.9199537]"
Taberna del Alamillo,2301,restaurant,"[-3.8422795, 40.9182857]"
,2302,fast_food,"[-3.8800314, 40.8810678]"
Nará,2301,restaurant,"[-3.475001, 40.4564814]"
Tasca La Catedral,2304,pub,"[-3.69278, 40.5083412]"
