ccaa,CPRO,CMUN,dist,secc,t1_1,t2_1,t2_2,t3_1,t4_1,t4_2,t4_3,t5_1,t6_1,t7_1,t8_1,t9_1,t10_1,t11_1,t12_1,NSEC,area,elevation,densidad_hab_km2
13,28,005,03,003,1313,0.5316,0.4684,43.3724,0.147,0.6573,0.1957,0.4128,0.4242,0.0321,0.0286,0.2027,0.1943,0.4518,0.5607,Alcalá de Henares - 03.003,18842.6464433898,594,69682.35613530908
13,28,005,03,004,1500,0.512,0.488,43.7807,0.1453,0.6607,0.194,0.1553,0.184,0.0562,0.0437,0.3354,0.1464,0.4774,0.5593,Alcalá de Henares - 03.004,103689.53553673,593,14466.262118308448
13,28,005,03,005,1064,0.5094,0.4906,43.6485,0.141,0.6438,0.2152,0.3092,0.3524,0.0427,0.0339,0.1882,0.1758,0.4256,0.5164,Alcalá de Henares - 03.005,28016.362639486,593,37977.80653011704
13,28,005,03,006,1706,0.5182,0.4818,47.2667,0.1208,0.6061,0.2732,0.2333,0.2526,0.038,0.03,0.188,0.1768,0.4313,0.524,Alcalá de Henares - 03.006,163686.446662788,593,10422.365655688945
13,28,005,03,007,2180,0.5128,0.4872,44.6679,0.1252,0.6688,0.206,0.1862,0.1972,0.0614,0.0503,0.258,0.1538,0.4704,0.5558,Alcalá de Henares - 03.007,8788772.04110385,605,248.04375284788895
13,28,005,03,008,1239,0.5044,0.4956,43.1525,0.1299,0.6973,0.1727,0.2373,0.255,0.0686,0.0529,0.2523,0.1361,0.4889,0.5659,Alcalá de Henares - 03.008,31152.2072170895,593,39772.462713984154
13,28,005,03,009,1498,0.514,0.486,43.4272,0.1469,0.6615,0.1916,0.3077,0.3164,0.0563,0.0462,0.1792,0.2592,0.4116,0.5556,Alcalá de Henares - 03.009,54023.5008539651,593,27728.673194455783
13,28,005,03,011,1509,0.4977,0.5023,46.8748,0.118,0.6183,0.2638,0.2213,0.2247,0.0458,0.0406,0.2893,0.1406,0.441,0.5131,Alcalá de Henares - 03.011,108189.738672257,594,13947.718318936579
13,28,005,03,012,1341,0.5138,0.4862,43.8084,0.1312,0.6808,0.1879,0.1864,0.2103,0.0644,0.0498,0.2258,0.2122,0.4558,0.5785,Alcalá de Henares - 03.012,84746.5583880878,593,15823.651432062099
13,28,005,03,013,1654,0.5042,0.4958,34.3912,0.2642,0.6856,0.0502,0.0441,0.0859,0.1027,0.0896,0.5957,0.062,0.696,0.742,Alcalá de Henares - 03.013,7391848.5870253,595,223.7599946112559
13,28,005,03,014,3510,0.494,0.506,39.4906,0.1556,0.7214,0.1231,0.1399,0.1712,0.0722,0.057,0.413,0.1113,0.6036,0.6791,Alcalá de Henares - 03.014,10211552.7282924,624,343.7283333292789
13,28,005,03,015,2310,0.5238,0.4762,38.0494,0.219,0.6879,0.0931,0.0532,0.0771,0.0843,0.0732,0.4479,0.0957,0.6286,0.6951,Alcalá de Henares - 03.015,283793.30077214,594,8139.727025673244
13,28,005,03,016,2312,0.4957,0.5043,36.401,0.247,0.6752,0.0779,0.0856,0.1207,0.0919,0.0844,0.5503,0.0787,0.6249,0.6783,Alcalá de Henares - 03.016,204265.572014326,598,11318.598514672105
13,28,005,03,017,2153,0.4979,0.5021,35.3553,0.2726,0.6609,0.0664,0.0734,0.0957,0.076,0.0632,0.5543,0.0907,0.6596,0.7254,Alcalá de Henares - 03.017,713531.083732617,598,3017.387818253479
13,28,005,04,001,3824,0.5256,0.4744,39.2408,0.2129,0.6425,0.1446,0.0996,0.1342,0.1339,0.1209,0.5163,0.0505,0.5625,0.5924,Alcalá de Henares - 04.001,8803736.4023139,610,434.3610286871983
13,28,005,04,002,1633,0.4979,0.5021,40.3031,0.1696,0.7055,0.1249,0.0398,0.0655,0.1136,0.0988,0.531,0.0782,0.5649,0.6128,Alcalá de Henares - 04.002,170519.331560399,594,9576.626796836734
13,28,005,04,003,1853,0.5008,0.4992,40.714,0.1392,0.7393,0.1214,0.0351,0.0626,0.106,0.0953,0.5298,0.0917,0.5712,0.6288,Alcalá de Henares - 04.003,175970.496856774,594,10530.174279772576
