GEOCODIGO,campana,ano,semana,n_vacunas,tuits_gripe,interes_gripe
051,2022,2022,38,0,98,32
051,2022,2022,39,0,126,42
051,2022,2022,40,0,112,60
051,2022,2022,41,318,176,77
051,2022,2022,42,298,180,100
051,2022,2022,43,326,270,69
051,2022,2022,44,296,218,77
052,NA,2022,35,0,76,22
052,2022,2022,36,0,86,21
052,2022,2022,37,0,64,22
052,2022,2022,38,0,98,32
052,2022,2022,39,0,126,42
052,2022,2022,40,0,112,60
052,2022,2022,41,134,176,77
052,2022,2022,42,140,180,100
052,2022,2022,43,141,270,69
052,2022,2022,44,147,218,77
053,NA,2022,35,0,76,22
053,2022,2022,36,0,86,21
053,2022,2022,37,0,64,22
053,2022,2022,38,0,98,32
053,2022,2022,39,0,126,42
053,2022,2022,40,0,112,60
053,2022,2022,41,279,176,77
053,2022,2022,42,294,180,100
053,2022,2022,43,275,270,69
053,2022,2022,44,314,218,77
054,NA,2022,35,0,76,22
054,2022,2022,36,0,86,21
054,2022,2022,37,0,64,22
054,2022,2022,38,0,98,32
054,2022,2022,39,0,126,42
054,2022,2022,40,0,112,60
054,2022,2022,41,158,176,77
054,2022,2022,42,157,180,100
054,2022,2022,43,145,270,69
054,2022,2022,44,151,218,77
055,NA,2022,35,0,76,22
055,2022,2022,36,0,86,21
055,2022,2022,37,0,64,22
055,2022,2022,38,0,98,32
055,2022,2022,39,0,126,42
055,2022,2022,40,0,112,60
055,2022,2022,41,316,176,77
055,2022,2022,42,272,180,100
055,2022,2022,43,290,270,69
055,2022,2022,44,292,218,77
056,NA,2022,35,0,76,22
056,2022,2022,36,0,86,21
056,2022,2022,37,0,64,22
056,2022,2022,38,0,98,32
056,2022,2022,39,0,126,42
056,2022,2022,40,0,112,60
056,2022,2022,41,293,176,77
056,2022,2022,42,275,180,100
056,2022,2022,43,276,270,69
056,2022,2022,44,292,218,77
057,NA,2022,35,0,76,22
057,2022,2022,36,0,86,21
057,2022,2022,37,0,64,22
057,2022,2022,38,0,98,32
057,2022,2022,39,0,126,42
057,2022,2022,40,0,112,60
057,2022,2022,41,313,176,77
057,2022,2022,42,332,180,100
057,2022,2022,43,355,270,69
057,2022,2022,44,369,218,77
058,NA,2022,35,0,76,22
058,2022,2022,36,0,86,21
058,2022,2022,37,0,64,22
058,2022,2022,38,0,98,32
058,2022,2022,39,0,126,42
058,2022,2022,40,0,112,60
058,2022,2022,41,238,176,77
058,2022,2022,42,264,180,100
058,2022,2022,43,250,270,69
058,2022,2022,44,291,218,77
059,NA,2022,35,0,76,22
059,2022,2022,36,0,86,21
059,2022,2022,37,0,64,22
059,2022,2022,38,0,98,32
059,2022,2022,39,0,126,42
059,2022,2022,40,0,112,60
059,2022,2022,41,201,176,77
059,2022,2022,42,225,180,100
059,2022,2022,43,223,270,69
059,2022,2022,44,223,218,77
060,NA,2022,35,0,76,22
060,2022,2022,36,0,86,21
060,2022,2022,37,0,64,22
060,2022,2022,38,0,98,32
060,2022,2022,39,0,126,42
060,2022,2022,40,0,112,60
060,2022,2022,41,267,176,77
060,2022,2022,42,235,180,100
060,2022,2022,43,270,270,69
060,2022,2022,44,254,218,77
061,NA,2022,35,0,76,22
061,2022,2022,36,0,86,21
061,2022,2022,37,0,64,22
061,2022,2022,38,0,98,32
061,2022,2022,39,0,126,42
061,2022,2022,40,0,112,60
061,2022,2022,41,327,176,77
061,2022,2022,42,297,180,100
061,2022,2022,43,310,270,69
061,2022,2022,44,341,218,77
062,NA,2022,35,0,76,22
062,2022,2022,36,0,86,21
062,2022,2022,37,0,64,22
062,2022,2022,38,0,98,32
062,2022,2022,39,0,126,42
062,2022,2022,40,0,112,60
062,2022,2022,41,161,176,77
062,2022,2022,42,154,180,100
062,2022,2022,43,168,270,69
062,2022,2022,44,166,218,77
063,NA,2022,35,0,76,22
063,2022,2022,36,0,86,21
063,2022,2022,37,0,64,22
063,2022,2022,38,0,98,32
063,2022,2022,39,0,126,42
063,2022,2022,40,0,112,60
063,2022,2022,41,222,176,77
063,2022,2022,42,254,180,100
063,2022,2022,43,224,270,69
063,2022,2022,44,252,218,77
064,NA,2022,35,0,76,22
064,2022,2022,36,0,86,21
064,2022,2022,37,0,64,22
064,2022,2022,38,0,98,32
064,2022,2022,39,0,126,42
064,2022,2022,40,0,112,60
064,2022,2022,41,192,176,77
064,2022,2022,42,212,180,100
064,2022,2022,43,221,270,69
064,2022,2022,44,213,218,77
