mes,pais_orig_cod,pais_orig,mun_dest_cod,mun_dest,turistas,CMUN,gasto,Target
2019-07,011,TOTAL UNIÓN EUROPEA,28013,ARANJUEZ,1264,013,86.78,86.78
2019-07,020,TOTAL ÁFRICA,28013,ARANJUEZ,116,013,86.78,86.78
2019-07,030,TOTAL AMÉRICA,28013,ARANJUEZ,138,013,86.78,86.78
2019-07,031,TOTAL AMÉRICA DEL NORTE,28013,ARANJUEZ,83,013,86.78,86.78
2019-07,033,TOTAL SUDAMÉRICA,28013,ARANJUEZ,54,013,86.78,86.78
2019-07,102,AUSTRIA,28013,ARANJUEZ,50,013,92.57,92.57
2019-07,103,BÉLGICA,28013,ARANJUEZ,67,013,85.46,85.46
2019-07,110,FRANCIA,28013,ARANJUEZ,374,013,76.36,76.36
2019-07,115,ITALIA,28013,ARANJUEZ,66,013,88.99,88.99
2019-07,117,LUXEMBURGO,28013,ARANJUEZ,56,013,86.78,86.78
2019-07,121,PAÍSES BAJOS,28013,ARANJUEZ,217,013,78.92,78.92
2019-07,123,PORTUGAL,28013,ARANJUEZ,66,013,93.65,93.65
2019-07,125,REINO UNIDO,28013,ARANJUEZ,156,013,123.22,123.22
2019-07,126,ALEMANIA,28013,ARANJUEZ,136,013,102.04,102.04
2019-07,128,RUMANIA,28013,ARANJUEZ,52,013,109.21,109.21
2019-07,131,SUECIA,28013,ARANJUEZ,95,013,72.9,72.9
2019-07,228,MARRUECOS,28013,ARANJUEZ,106,013,86.78,86.78
2019-07,302,EE.UU.,28013,ARANJUEZ,65,013,119.05,119.05
2019-07,000,TOTAL,28014,ARGANDA DEL REY,1878,014,86.78,86.78
2019-07,010,TOTAL EUROPA,28014,ARGANDA DEL REY,1531,014,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28014,ARGANDA DEL REY,1378,014,86.78,86.78
2019-07,020,TOTAL ÁFRICA,28014,ARGANDA DEL REY,44,014,86.78,86.78
2019-07,030,TOTAL AMÉRICA,28014,ARGANDA DEL REY,248,014,86.78,86.78
2019-07,031,TOTAL AMÉRICA DEL NORTE,28014,ARGANDA DEL REY,138,014,86.78,86.78
2019-07,033,TOTAL SUDAMÉRICA,28014,ARGANDA DEL REY,108,014,86.78,86.78
2019-07,040,TOTAL ASIA,28014,ARGANDA DEL REY,52,014,86.78,86.78
2019-07,102,AUSTRIA,28014,ARGANDA DEL REY,87,014,92.57,92.57
2019-07,103,BÉLGICA,28014,ARGANDA DEL REY,40,014,85.46,85.46
2019-07,110,FRANCIA,28014,ARGANDA DEL REY,329,014,76.36,76.36
2019-07,115,ITALIA,28014,ARGANDA DEL REY,106,014,88.99,88.99
2019-07,117,LUXEMBURGO,28014,ARGANDA DEL REY,55,014,86.78,86.78
